Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,39.375,39.625,38.3125,39.0,27.73436164855957,659800
2000-01-04,38.875,38.9375,38.0,38.125,27.11212158203125,1160500
2000-01-05,38.75,39.5,38.1875,39.25,27.912158966064453,2717300
2000-01-06,39.125,40.75,38.9375,40.625,28.889970779418945,3123600
2000-01-07,40.5,42.75,40.5,42.75,30.401132583618164,1656500
2000-01-10,33.0,34.75,28.125,30.125,21.42302131652832,8579700
2000-01-11,29.625,29.625,27.375,28.25,20.089637756347656,6606700
2000-01-12,28.5,28.625,27.5,27.875,19.822961807250977,3032500
2000-01-13,28.375,30.375,27.9375,30.375,21.60080909729004,2635700
2000-01-14,30.25,30.375,29.5,29.9375,21.28968048095703,1803200
2000-01-18,29.25,29.375,28.6875,28.75,20.445213317871094,1500900
2000-01-19,28.25,28.9375,27.0625,27.3125,19.422945022583008,2813500
2000-01-20,27.3125,27.4375,25.625,26.375,18.756258010864258,1381500
2000-01-21,26.75,26.75,25.0625,25.5625,18.178466796875,1159600
2000-01-24,25.75,26.1875,23.9375,24.25,17.245084762573242,1436500
2000-01-25,24.375,24.625,22.75,23.4375,16.667282104492188,2220700
2000-01-26,23.0,25.25,23.0,25.25,17.95622444152832,2251400
2000-01-27,26.125,27.25,26.0625,26.4375,18.80069923400879,2533300
2000-01-28,26.4375,26.4375,24.84375,25.875,18.40069007873535,1010200
2000-01-31,25.875,25.875,24.9375,25.875,18.40069007873535,648300
2000-02-01,26.125,26.75,25.875,26.3125,18.711807250976562,820300
2000-02-02,26.3125,27.3125,26.25,27.3125,19.422945022583008,1255700
2000-02-03,27.1875,27.625,26.4375,27.3125,19.422945022583008,1131600
2000-02-04,27.1875,27.5625,26.9375,27.1875,19.48386573791504,656000
2000-02-07,27.0625,27.6875,27.0,27.625,19.797391891479492,871300
2000-02-08,27.875,28.4375,25.625,26.5625,19.03595542907715,1039200
2000-02-09,26.375,26.4375,24.25,24.4375,17.513078689575195,833900
2000-02-10,24.5,25.0625,23.4375,23.4375,16.796424865722656,1069400
2000-02-11,24.0,24.1875,23.6875,23.9375,17.154752731323242,1159600
2000-02-14,23.6875,24.9375,23.25,24.375,17.46828842163086,1587800
2000-02-15,24.375,24.6875,23.4375,23.8125,17.06517791748047,1196500
2000-02-16,23.9375,24.0,23.0625,23.375,16.751644134521484,813400
2000-02-17,23.5,23.5,23.0,23.125,16.572477340698242,1216200
2000-02-18,23.0625,23.4375,22.6875,22.6875,16.25894546508789,1048400
2000-02-22,22.75,23.1875,22.75,22.9375,16.4381160736084,1085100
2000-02-23,22.8125,23.1875,22.375,22.375,16.034997940063477,1797600
2000-02-24,22.5,22.8125,21.8125,22.125,15.855834007263184,1126000
2000-02-25,22.125,22.125,21.375,21.375,15.318344116210938,1334800
2000-02-28,21.625,21.9375,21.375,21.5,15.407925605773926,769800
2000-02-29,21.375,21.4375,20.6875,21.0625,15.094399452209473,1226300
2000-03-01,21.0,23.375,20.9375,23.0625,16.52768325805664,1215600
2000-03-02,23.0625,23.125,22.875,23.125,16.572477340698242,1178600
2000-03-03,23.375,24.375,23.0625,23.8125,17.06517791748047,717900
2000-03-06,23.6875,23.8125,23.0,23.3125,16.70685386657715,570200
2000-03-07,23.1875,23.1875,22.375,22.375,16.034997940063477,693400
2000-03-08,22.375,22.4375,21.6875,21.75,15.587085723876953,873200
2000-03-09,21.875,22.25,21.625,21.75,15.587085723876953,2129000
2000-03-10,22.25,22.25,21.5625,21.5625,15.452713966369629,626300
2000-03-13,21.5625,22.125,21.5,21.8125,15.631876945495605,968800
2000-03-14,21.875,22.0625,21.5625,21.75,15.587085723876953,794300
2000-03-15,21.9375,24.375,21.8125,24.0625,17.244338989257812,1202300
2000-03-16,24.0625,27.3125,24.0,27.0625,19.394275665283203,1824700
2000-03-17,27.5,27.5,25.5625,25.875,18.543262481689453,1003800
2000-03-20,25.125,25.6875,24.6875,25.125,18.00577163696289,842600
2000-03-21,24.5,26.6875,24.5,26.6875,19.12553596496582,726000
2000-03-22,26.5,27.1875,25.9375,26.9375,19.3046932220459,694100
2000-03-23,27.1875,29.375,26.4375,29.0,20.782787322998047,860300
2000-03-24,29.375,30.875,29.25,30.625,21.947343826293945,2056700
2000-03-27,30.5,30.625,29.625,29.9375,21.45464324951172,1676100
2000-03-28,29.625,30.0,29.0,29.3125,21.006744384765625,782000
2000-03-29,29.5625,29.625,28.875,29.3125,21.006744384765625,758500
2000-03-30,29.3125,33.25,29.125,32.1875,23.06710433959961,2210100
2000-03-31,32.125,32.6875,31.6875,32.25,23.11189079284668,3130900
2000-04-03,32.25,32.3125,30.75,31.5625,22.619203567504883,651800
2000-04-04,32.5,32.5,29.375,30.4375,21.812965393066406,786800
2000-04-05,30.6875,31.125,29.8125,30.0,21.49942970275879,1149200
2000-04-06,30.5,30.75,30.0,30.125,21.589014053344727,598200
2000-04-07,30.125,30.3125,29.25,29.25,20.961942672729492,705000
2000-04-10,29.3125,29.3125,27.9375,28.25,20.24530029296875,1273900
2000-04-11,28.25,28.625,28.125,28.3125,20.290090560913086,560500
2000-04-12,28.0625,29.4375,27.8125,28.25,20.24530029296875,1825700
2000-04-13,28.25,28.25,27.25,27.3125,19.573440551757812,697300
2000-04-14,27.3125,27.3125,25.5,25.6875,18.408899307250977,855600
2000-04-17,24.875,25.9375,24.6875,25.0625,17.960981369018555,1941800
2000-04-18,25.125,25.5625,24.4375,25.375,18.184940338134766,1923300
2000-04-19,25.625,26.3125,25.375,25.5,18.274518966674805,767400
2000-04-20,25.5,26.375,25.1875,26.125,18.722423553466797,779700
2000-04-24,25.8125,27.0,25.6875,26.625,19.08075714111328,697300
2000-04-25,26.625,28.0625,26.125,27.8125,19.93177604675293,1479500
2000-04-26,27.8125,27.9375,26.75,27.0625,19.394275665283203,1226300
2000-04-27,26.8125,26.875,25.625,26.1875,18.767215728759766,813600
2000-04-28,26.1875,27.25,25.75,27.0625,19.55858612060547,1238600
2000-05-01,27.125,29.875,26.9375,28.625,20.687837600708008,1008900
2000-05-02,28.5,28.5,27.0,28.125,20.32648468017578,910300
2000-05-03,27.9375,28.25,26.0,26.25,18.97138214111328,586100
2000-05-04,26.5,30.125,26.5,29.375,21.229881286621094,1557000
2000-05-05,29.0,29.9375,28.6875,29.5625,21.36539077758789,725400
2000-05-08,29.375,30.9375,29.25,30.3125,21.907426834106445,575200
2000-05-09,30.3125,31.25,30.3125,30.875,22.313961029052734,937800
2000-05-10,30.9375,32.25,30.9375,31.75,22.946332931518555,1255600
2000-05-11,31.8125,32.6875,31.4375,31.875,23.036680221557617,688800
2000-05-12,31.75,33.0,31.75,32.5625,23.533544540405273,758200
2000-05-15,32.5625,34.4375,32.375,34.125,24.66278839111328,743000
2000-05-16,34.5,34.8125,33.5625,34.3125,24.798311233520508,664300
2000-05-17,34.0625,34.0625,32.625,33.0,23.8497371673584,786600
2000-05-18,33.0,33.9375,33.0,33.5625,24.25626564025879,661100
2000-05-19,33.125,33.3125,32.0,33.0,23.8497371673584,857700
2000-05-22,33.0,34.0,33.0,33.75,24.391773223876953,589600
2000-05-23,33.6875,34.0625,33.0,33.8125,24.43694496154785,496300
2000-05-24,33.0,35.0,33.0,34.9375,25.250009536743164,1083400
2000-05-25,35.0,35.8125,34.75,34.9375,25.250009536743164,805500
2000-05-26,35.0,35.25,34.875,35.0,25.2951717376709,435300
2000-05-30,34.875,35.8125,34.875,35.75,25.837217330932617,335800
2000-05-31,35.125,35.75,35.0,35.125,25.385507583618164,565700
2000-06-01,35.0,35.875,34.75,35.375,25.56619644165039,633000
2000-06-02,35.25,36.9375,35.125,36.5625,26.424436569213867,621400
2000-06-05,36.4375,36.6875,34.8125,35.125,25.385507583618164,507700
2000-06-06,34.875,35.1875,34.875,35.0,25.2951717376709,1196900
2000-06-07,35.0625,36.4375,34.9375,35.6875,25.792036056518555,380100
2000-06-08,35.4375,35.4375,34.5,34.8125,25.159669876098633,331600
