Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,48.125,48.1875,45.125,46.1875,36.525997161865234,886900
2000-01-04,45.25,45.3125,42.875,43.3125,34.252376556396484,1221700
2000-01-05,43.3125,43.375,41.75,42.3125,33.46157455444336,1361900
2000-01-06,42.3125,44.4375,42.0625,44.25,34.99378967285156,2482300
2000-01-07,44.25,46.1875,43.125,45.5,35.98231887817383,1206500
2000-01-10,45.5,46.0625,44.875,44.9375,35.53748321533203,855800
2000-01-11,44.75,45.5,43.25,43.5,34.400691986083984,1511400
2000-01-12,43.5,44.5,43.375,44.0625,34.84550094604492,1151400
2000-01-13,44.375,45.4375,43.9375,45.1875,35.73517990112305,417700
2000-01-14,46.1875,48.0,45.875,46.8125,37.02027130126953,1260600
2000-01-18,44.0,45.3125,42.0,42.5,33.609859466552734,2612600
2000-01-19,43.75,43.8125,42.75,43.375,34.30181121826172,1942600
2000-01-20,43.1875,43.5,42.0,42.375,33.51100158691406,1163600
2000-01-21,43.1875,43.25,40.8125,41.375,32.720184326171875,1324500
2000-01-24,41.3125,41.5,40.875,41.125,32.5224723815918,1058900
2000-01-25,41.0,41.0625,40.0,40.0625,31.682220458984375,986100
2000-01-26,40.125,42.625,40.125,41.9375,33.16501998901367,1009300
2000-01-27,42.0,43.125,40.6875,41.5,32.81903076171875,1583200
2000-01-28,41.25,41.25,39.8125,40.0625,31.682220458984375,539500
2000-01-31,39.25,41.1875,39.1875,41.0,32.423622131347656,500800
2000-02-01,41.5,41.5625,40.0,40.1875,31.78108787536621,628200
2000-02-02,40.75,40.8125,39.25,39.8125,31.484533309936523,534400
2000-02-03,40.5,40.8125,38.625,39.125,30.94086265563965,865700
2000-02-04,40.125,40.125,38.5,38.5625,30.495990753173828,611000
2000-02-07,38.4375,39.3125,37.375,37.9375,30.022525787353516,910600
2000-02-08,38.375,38.75,36.9375,37.375,29.577369689941406,1017700
2000-02-09,37.0,37.0625,34.8125,35.0,27.69788360595703,1668300
2000-02-10,35.0,35.4375,33.0,33.5,26.510818481445312,2143700
2000-02-11,33.5,34.0625,32.5,33.625,26.609756469726562,1962100
2000-02-14,33.375,34.25,33.0,34.1875,27.054903030395508,1369200
2000-02-15,34.4375,37.3125,34.0625,37.0625,29.330089569091797,1852600
2000-02-16,38.25,39.1875,37.0,37.5,29.676286697387695,2593200
2000-02-17,37.75,37.9375,36.625,36.75,29.082775115966797,1183700
2000-02-18,36.0,36.1875,33.25,34.5,27.302188873291016,1183400
2000-02-22,35.4375,36.0,32.8125,33.9375,26.857051849365234,1872400
2000-02-23,35.0,35.0,32.75,33.0625,26.164602279663086,1563500
2000-02-24,33.25,34.9375,32.0625,34.625,27.401113510131836,2271300
2000-02-25,34.6875,35.9375,34.3125,35.5625,28.143009185791016,1607900
2000-02-28,35.4375,38.1875,35.4375,37.875,29.973072052001953,2347300
2000-02-29,38.0,38.125,36.375,36.8125,29.132244110107422,1971000
2000-03-01,36.875,38.1875,36.75,37.6875,29.82468605041504,1075000
2000-03-02,37.75,38.1875,36.5,36.8125,29.132244110107422,1184200
2000-03-03,38.5,39.3125,37.4375,37.9375,30.022525787353516,979700
2000-03-06,38.125,39.0,36.75,37.0625,29.330089569091797,667000
2000-03-07,36.875,36.875,34.5,34.6875,27.45057487487793,1258900
2000-03-08,34.4375,35.4375,33.875,35.1875,27.846261978149414,1093200
2000-03-09,35.375,38.0,34.75,36.6875,29.033309936523438,1716000
2000-03-10,36.0,36.9375,35.875,36.8125,29.132244110107422,870500
2000-03-13,36.5625,37.75,36.25,37.75,29.87415313720703,1098000
2000-03-14,37.75,38.625,37.75,38.125,30.1709041595459,1104400
2000-03-15,38.125,41.75,37.8125,40.875,32.34716796875,2730900
2000-03-16,42.25,46.625,42.125,46.5625,36.84806823730469,3991800
2000-03-17,46.9375,48.375,45.75,45.8125,36.254554748535156,2357800
2000-03-20,44.75,44.9375,41.25,41.5625,32.891231536865234,1647800
2000-03-21,41.75,44.4375,41.5,44.0,34.82019805908203,1541000
2000-03-22,44.1875,46.625,44.0625,46.25,36.60076141357422,1022200
2000-03-23,46.125,46.625,45.125,45.8125,36.254554748535156,1154500
2000-03-24,46.0,46.8125,44.625,45.0625,35.66102981567383,855300
2000-03-27,45.0625,45.0625,43.3125,44.5,35.215877532958984,753100
2000-03-28,44.5625,46.375,44.4375,45.375,35.908321380615234,849000
2000-03-29,45.625,46.0625,44.0,45.25,35.80941390991211,799300
2000-03-30,45.375,46.9375,45.125,46.375,36.699684143066406,932400
2000-03-31,46.4375,48.8125,45.6875,47.9375,37.936214447021484,973000
2000-04-03,47.6875,49.6875,47.6875,49.0,38.777034759521484,1323700
2000-04-04,49.0,49.375,44.125,46.5625,36.84806823730469,1281100
2000-04-05,46.75,47.5625,46.25,46.3125,36.65021896362305,811700
2000-04-06,46.4375,48.0625,46.4375,46.875,37.095375061035156,821800
2000-04-07,47.5,47.6875,46.8125,47.25,37.39213180541992,532900
2000-04-10,47.5,49.0625,47.1875,48.125,38.08458709716797,556300
2000-04-11,48.625,49.875,48.5625,49.25,38.974884033203125,1010500
2000-04-12,49.0,53.0,48.875,50.25,39.76626205444336,2209200
2000-04-13,50.25,50.25,45.5,46.6875,36.94700622558594,1712800
2000-04-14,44.1875,45.125,42.25,42.875,33.929908752441406,2165100
2000-04-17,42.6875,43.875,42.3125,43.0,34.02881622314453,1487300
2000-04-18,43.0,45.375,42.625,45.0625,35.66102981567383,1073600
2000-04-19,45.5,45.8125,44.875,45.5,36.00724411010742,622800
2000-04-20,45.5,47.4375,44.875,47.3125,37.44160079956055,651100
2000-04-24,47.3125,48.875,46.4375,47.125,37.293212890625,866700
2000-04-25,47.1875,49.1875,46.5,48.875,38.67812728881836,980400
2000-04-26,49.0,49.25,47.6875,47.875,37.88676071166992,662600
2000-04-27,47.1875,47.1875,45.25,46.125,36.501861572265625,1184100
2000-04-28,44.5,44.9375,42.8125,43.75,34.622352600097656,1348100
2000-05-01,42.5,45.875,42.25,45.0,35.61155700683594,772400
2000-05-02,44.8125,45.875,44.3125,45.375,35.908321380615234,647700
2000-05-03,45.125,45.125,42.125,42.4375,33.583675384521484,878200
2000-05-04,42.4375,42.4375,40.25,40.8125,32.29771423339844,1004200
2000-05-05,40.625,40.625,39.6875,39.875,31.555801391601562,1329100
2000-05-08,39.5,43.125,39.375,42.125,33.358638763427734,1293300
2000-05-09,42.4375,43.6875,41.3125,41.875,33.16065216064453,718400
2000-05-10,41.9375,42.25,41.0,41.0625,32.51722717285156,667300
2000-05-11,42.75,44.0625,42.125,43.375,34.34849548339844,894200
2000-05-12,44.0,44.8125,42.8125,43.625,34.54648971557617,743200
2000-05-15,43.75,45.40625,43.375,44.71875,35.41261672973633,752100
2000-05-16,45.75,46.3125,45.1875,45.5,36.031288146972656,702500
2000-05-17,44.375,44.625,43.6875,44.0,34.84343719482422,398700
2000-05-18,44.0,46.0,43.9375,45.75,36.229248046875,732500
2000-05-19,44.875,45.0625,42.75,44.0,34.84343719482422,688900
2000-05-22,44.125,44.1875,42.875,43.875,34.74443435668945,448600
2000-05-23,44.375,45.3125,44.0,44.8125,35.48685073852539,477100
2000-05-24,45.4375,46.9375,44.5,44.875,35.53635787963867,966300
2000-05-25,44.875,45.75,44.625,45.25,35.83332824707031,912200
2000-05-26,45.0,45.625,44.8125,44.9375,35.58584213256836,635600
2000-05-30,45.5,47.5,45.25,46.1875,36.57570266723633,1045900
2000-05-31,46.75,47.4375,46.375,47.25,37.417083740234375,1799800
2000-06-01,47.0,49.0,47.0,48.65625,38.530704498291016,2195100
2000-06-02,50.375,52.375,50.3125,51.25,40.58467483520508,1517000
2000-06-05,50.375,50.6875,49.5625,50.375,39.89178466796875,1329000
2000-06-06,50.5,50.5,49.4375,49.6875,39.34733581542969,1304300
2000-06-07,49.6875,50.6875,49.625,50.3125,39.842281341552734,465000
2000-06-08,50.25,50.25,48.875,49.4375,39.14935302734375,573500
2000-06-09,49.8125,50.625,48.375,48.6875,38.555450439453125,356100
2000-06-12,48.0,49.9375,47.875,49.75,39.39684295654297,912600
2000-06-13,49.8125,50.625,49.6875,50.4375,39.9412727355957,474100
2000-06-14,50.875,53.75,50.875,52.84375,41.84676742553711,1155700
2000-06-15,52.25,52.25,49.5625,50.25,39.79280090332031,893800
2000-06-16,50.25,50.25,46.5,48.5,38.40696716308594,1252200
2000-06-19,48.375,48.875,47.125,47.625,37.714054107666016,1050400
2000-06-20,47.75,48.5,46.25,47.0,37.219139099121094,1466600
2000-06-21,45.25,46.5625,45.1875,46.25,36.625186920166016,1047200
2000-06-22,46.375,46.375,43.5,44.4375,35.18989944458008,1735700
2000-06-23,44.4375,44.9375,43.8125,43.9375,34.79395294189453,1015500
2000-06-26,44.1875,45.125,43.875,44.5,35.2393913269043,790200
2000-06-27,44.875,46.3125,44.6875,45.75,36.229248046875,1100300
2000-06-28,46.375,47.1875,45.75,46.609375,36.9098014831543,996400
2000-06-29,45.75,46.25,44.875,46.0,36.427223205566406,1436400
2000-06-30,45.875,46.25,44.5,44.625,35.3383674621582,882300
2000-07-03,45.0,45.4375,44.625,45.375,35.932289123535156,263800
2000-07-05,45.375,46.8125,44.9375,45.5625,36.08076858520508,652900
2000-07-06,45.4375,48.0,45.25,48.0,38.01102066040039,900800
2000-07-07,48.0,50.4375,47.8125,49.25,39.00091552734375,973900
2000-07-10,49.0,49.8125,48.5,49.5,39.19886779785156,477600
2000-07-11,49.25,49.875,48.9375,49.4375,39.14935302734375,750300
2000-07-12,49.5,50.125,49.1875,49.5,39.19886779785156,1025600
2000-07-13,51.375,52.625,50.875,51.3125,40.6341552734375,1507700
2000-07-14,51.25,51.9375,50.5625,51.0,40.386714935302734,1026100
2000-07-17,50.75,50.8125,49.8125,50.21875,39.76803970336914,635400
2000-07-18,50.75,52.9375,50.5,52.4375,41.525054931640625,751600
2000-07-19,52.5,53.5,52.25,53.25,42.16848373413086,722000
2000-07-20,53.25,56.0,52.9375,55.5,43.95024871826172,1457400
2000-07-21,55.75,56.375,55.375,55.8125,44.197715759277344,1204000
2000-07-24,56.625,57.5,53.25,53.9375,42.71290588378906,1593100
2000-07-25,53.9375,54.4375,53.3125,54.3125,43.009857177734375,645900
2000-07-26,54.4375,54.625,52.6875,53.25,42.16848373413086,1048100
2000-07-27,53.375,57.125,53.25,56.5625,44.79164123535156,1120100
2000-07-28,56.625,56.8125,55.375,56.8125,44.98960876464844,1465000
2000-07-31,57.0,59.25,56.9375,58.59375,46.40019226074219,1475100
2000-08-01,58.0,58.0,55.75,57.5625,45.58354187011719,2210500
2000-08-02,57.5625,57.75,54.625,55.5625,43.99973678588867,1176700
2000-08-03,55.5,56.875,54.3125,56.375,44.64314270019531,1518900
2000-08-04,56.375,58.9375,56.1875,58.875,46.62289047241211,2039300
2000-08-07,58.625,58.6875,57.375,58.375,46.2479248046875,1064300
2000-08-08,58.3125,59.25,57.5625,57.75,45.75276184082031,966800
2000-08-09,57.6875,57.6875,55.625,56.4375,44.71292495727539,1127300
2000-08-10,56.4375,57.0,55.5,55.875,44.26728439331055,351100
2000-08-11,55.875,57.0,55.0,56.6875,44.91096496582031,584600
2000-08-14,56.75,57.6875,56.0,57.4375,45.50518035888672,497800
2000-08-15,57.1875,57.25,54.375,54.625,43.2769775390625,796900
2000-08-16,55.0,55.5625,54.875,55.0625,43.62358093261719,732100
2000-08-17,55.0,55.75,54.6875,55.46875,43.94542694091797,524900
2000-08-18,55.3125,55.375,54.5625,54.9375,43.52455520629883,484000
2000-08-21,55.125,56.8125,54.875,56.5,44.7624397277832,810100
2000-08-22,57.0,58.6875,56.875,58.0625,46.00033950805664,1016700
2000-08-23,58.1875,58.6875,57.3125,58.0625,46.00033950805664,811800
2000-08-24,58.0,59.125,57.9375,59.125,46.84211730957031,828900
2000-08-25,58.625,58.875,58.0625,58.25,46.14888381958008,412700
2000-08-28,58.3125,60.625,58.25,59.8125,47.38679885864258,1158000
2000-08-29,60.0625,60.5,58.625,60.125,47.63436508178711,831800
2000-08-30,59.75,60.5625,59.1875,59.6875,47.287757873535156,502700
2000-08-31,59.6875,61.625,59.6875,60.328125,47.79530334472656,861200
2000-09-01,61.5625,61.5625,59.625,60.125,47.63436508178711,709600
2000-09-05,60.125,62.4375,60.125,61.125,48.42664337158203,1144300
2000-09-06,62.125,63.5,61.75,62.5625,49.565494537353516,1383200
2000-09-07,62.5,65.0,61.875,64.0,50.704368591308594,1982600
2000-09-08,64.4375,65.875,63.6875,65.15625,51.62041091918945,1156300
2000-09-11,65.4375,66.125,64.8125,65.6875,52.04127502441406,1561500
2000-09-12,65.25,65.875,64.5625,65.75,52.090816497802734,1147100
2000-09-13,65.25,66.6875,65.125,66.0,52.28887176513672,1431300
2000-09-14,66.125,66.5625,64.125,64.375,51.0014533996582,1191200
2000-09-15,64.375,66.0,63.8125,64.0,50.704368591308594,1349700
2000-09-18,64.5,64.6875,61.625,61.625,48.822750091552734,1583300
2000-09-19,61.875,63.9375,61.5,62.8125,49.763545989990234,1206000
2000-09-20,62.8125,63.0,60.75,62.5,49.5159797668457,752400
2000-09-21,62.25,63.8125,61.125,63.8125,50.55581283569336,1127900
2000-09-22,63.5625,65.5,62.8125,65.5,51.89274215698242,1567800
2000-09-25,67.0,69.5,66.5,68.6875,54.41807174682617,2364600
2000-09-26,70.0,70.625,66.4375,66.84375,52.957332611083984,1514400
2000-09-27,67.125,69.0625,67.0,68.5625,54.31901931762695,978200
2000-09-28,69.3125,71.75,69.0625,71.4375,56.59678649902344,1127200
2000-09-29,71.1875,71.3125,69.5625,70.0625,55.50737762451172,1237600
2000-10-02,69.875,70.875,68.0625,70.5,55.85401916503906,835000
2000-10-03,71.375,73.25,70.0,71.0,56.250144958496094,1763400
2000-10-04,70.25,72.625,69.875,71.25,56.44819641113281,1291600
2000-10-05,71.25,73.1875,71.25,71.75,56.844364166259766,1291300
2000-10-06,69.875,69.875,64.0625,66.3125,52.53644561767578,2270400
2000-10-09,66.3125,67.0625,65.1875,66.6875,52.83354187011719,1224900
2000-10-10,66.625,66.75,62.75,63.625,50.40726852416992,1881200
2000-10-11,63.0,65.6875,62.125,65.375,51.79372787475586,2046200
2000-10-12,66.25,67.0,61.4375,61.875,49.02082061767578,2309700
2000-10-13,61.75,67.875,61.125,67.75,53.67531204223633,1199500
2000-10-16,68.5,70.6875,68.375,69.75,55.25983428955078,1345100
2000-10-17,70.25,70.75,65.25,66.0625,52.33837890625,1523200
2000-10-18,62.5625,68.5,62.5625,67.3125,53.32870101928711,1355700
2000-10-19,68.625,70.4375,68.125,68.75,54.46755599975586,1494000
2000-10-20,68.25,68.625,67.5625,68.375,54.170475006103516,1428500
2000-10-23,67.5,67.5625,63.8125,65.75,52.090816497802734,1628600
2000-10-24,66.25,68.375,64.125,64.25,50.90242385864258,1976800
2000-10-25,62.0,62.0,58.25,60.25,47.733402252197266,2658600
2000-10-26,58.375,58.875,51.8125,58.875,46.6440544128418,5543900
2000-10-27,58.875,61.375,56.5,60.5625,47.98097610473633,2582600
2000-10-30,60.6875,63.625,60.375,62.3125,49.36743927001953,1022600
2000-10-31,61.75,63.5,59.875,63.125,50.011131286621094,1237600
2000-11-01,62.75,62.75,60.75,61.8125,48.97130584716797,860700
2000-11-02,61.9375,63.3125,61.375,63.0,49.91209411621094,808400
2000-11-03,63.0,63.0,60.4375,61.4375,48.67421340942383,638900
2000-11-06,61.5,64.375,60.1875,64.0,50.72640609741211,924500
2000-11-07,64.0,65.75,63.5625,64.3125,50.974098205566406,976700
2000-11-08,64.3125,64.375,62.3125,63.9375,50.676876068115234,860500
2000-11-09,62.5,64.8125,61.0,62.0,49.14120101928711,1461800
2000-11-10,61.75,61.75,58.625,59.1875,46.9119987487793,1032200
2000-11-13,58.625,59.75,54.0625,56.5,44.78189468383789,2427200
2000-11-14,57.9375,59.4375,56.0625,57.875,45.87171936035156,1693200
2000-11-15,57.0625,59.375,56.1875,57.125,45.27729034423828,1812100
2000-11-16,56.5,57.6875,55.3125,55.3125,43.840694427490234,1425600
2000-11-17,53.875,55.375,51.875,52.5,41.611488342285156,2747500
2000-11-20,52.0,52.0625,45.875,49.5625,39.2832145690918,3787900
2000-11-21,48.5,51.4375,46.5625,49.75,39.43186569213867,3667300
2000-11-22,51.5,51.5,48.375,48.4375,38.391578674316406,1790800
2000-11-24,48.5,49.8125,48.5,49.625,39.33277893066406,517300
2000-11-27,52.0,54.625,51.8125,53.9375,42.750858306884766,2096100
2000-11-28,54.0,54.875,53.0625,53.375,42.30501937866211,1728200
2000-11-29,53.625,56.625,53.5,56.375,44.68281936645508,1779400
2000-11-30,55.5625,57.25,54.0625,55.8125,44.236995697021484,2596500
2000-12-01,56.0625,57.875,56.0,56.875,45.07912826538086,1701800
2000-12-04,54.75,55.0625,52.9375,54.125,42.899471282958984,2186200
2000-12-05,54.9375,59.8125,54.3125,59.1875,46.9119987487793,2366000
2000-12-06,58.5,62.375,57.875,58.3125,46.21849060058594,2304800
