Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,23.0625,23.25,21.0625,22.375,10.965322494506836,440100
2000-01-04,21.875,22.25,21.5625,21.625,10.597769737243652,529100
2000-01-05,21.8125,22.1875,21.3125,21.375,10.475251197814941,362400
2000-01-06,21.625,21.625,20.8125,21.125,10.352736473083496,491100
2000-01-07,21.4375,22.375,21.0625,22.125,10.842801094055176,357000
2000-01-10,21.875,22.1875,21.8125,21.9375,10.750917434692383,270200
2000-01-11,21.875,22.625,21.875,22.5625,11.057209014892578,478700
2000-01-12,22.3125,22.5,21.0625,21.5625,10.56713581085205,333100
2000-01-13,21.5,21.5625,20.0,20.3125,9.954551696777344,822600
2000-01-14,20.75,21.25,20.1875,21.25,10.413992881774902,759200
2000-01-18,21.1875,21.5625,20.875,21.0625,10.322107315063477,433200
2000-01-19,21.0,21.6875,20.9375,21.1875,10.383360862731934,366200
2000-01-20,21.3125,21.5,20.625,20.6875,10.13832950592041,268600
2000-01-21,21.0625,21.125,20.25,20.4375,10.01580810546875,406600
2000-01-24,20.375,20.5,19.875,19.875,9.740142822265625,710800
2000-01-25,20.25,23.375,20.125,21.25,10.413992881774902,1474900
2000-01-26,21.125,21.375,20.1875,21.25,10.413992881774902,877900
2000-01-27,21.4375,22.375,21.0625,21.4375,10.505879402160645,1049800
2000-01-28,21.5,21.75,21.25,21.5625,10.56713581085205,762300
2000-01-31,21.5625,21.625,20.875,21.5,10.536513328552246,358900
2000-02-01,21.3125,21.3125,20.625,21.0,10.291471481323242,788700
2000-02-02,20.75,21.625,20.75,21.5,10.536513328552246,595900
2000-02-03,22.25,22.25,21.25,21.75,10.659025192260742,530600
2000-02-04,21.9375,22.0,21.3125,21.625,10.597769737243652,445700
2000-02-07,21.375,21.4375,21.0625,21.3125,10.444620132446289,211900
2000-02-08,21.5,22.0625,21.3125,22.0625,10.812171936035156,349700
2000-02-09,21.625,21.6875,21.125,21.5,10.536513328552246,494500
2000-02-10,21.625,22.1875,21.4375,21.9375,10.750917434692383,581700
2000-02-11,22.5,22.875,21.875,22.1875,10.873429298400879,863500
2000-02-14,22.8125,22.8125,21.875,22.0,10.781546592712402,366100
2000-02-15,21.9375,22.3125,21.625,21.9375,10.750917434692383,455800
2000-02-16,21.9375,22.0625,21.5,21.75,10.659025192260742,424000
2000-02-17,21.6875,21.875,21.5,21.75,10.659025192260742,426500
