Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,4.296875,4.34375,3.75,3.875,3.037564516067505,3971200
2000-01-04,3.75,3.90625,3.6875,3.875,3.037564516067505,5402800
2000-01-05,3.8125,3.875,3.71875,3.765625,2.951826333999634,3598000
2000-01-06,3.765625,4.125,3.734375,4.078125,3.1967906951904297,3956000
2000-01-07,4.125,4.1875,3.984375,4.03125,3.160046100616455,2756400
2000-01-10,3.96875,4.0625,3.90625,4.0625,3.1845431327819824,1998800
2000-01-11,4.0,4.15625,4.0,4.09375,3.209038734436035,2788400
2000-01-12,4.078125,4.140625,4.015625,4.09375,3.232729196548462,2079200
2000-01-13,4.125,4.234375,4.109375,4.171875,3.2944235801696777,4296400
2000-01-14,4.234375,4.28125,4.140625,4.25,3.356114387512207,5099200
2000-01-18,4.3125,4.484375,4.171875,4.265625,3.368454933166504,3706800
2000-01-19,4.328125,4.453125,4.28125,4.28125,3.380791664123535,1662400
2000-01-20,4.265625,4.28125,4.0,4.1875,3.3067619800567627,4240800
2000-01-21,4.234375,4.328125,4.03125,4.0625,3.2080514430999756,7760000
2000-01-24,4.0,4.046875,3.859375,3.96875,3.134019613265991,5458400
2000-01-25,3.96875,4.046875,3.890625,3.90625,3.0846645832061768,5332000
2000-01-26,3.921875,4.0625,3.921875,3.953125,3.1216821670532227,4566400
2000-01-27,3.96875,4.03125,3.8125,3.859375,3.04764986038208,2605200
2000-01-28,3.859375,3.921875,3.796875,3.8125,3.0106329917907715,2298000
2000-01-31,3.875,3.984375,3.765625,3.96875,3.134019613265991,3082800
2000-02-01,3.9375,4.046875,3.90625,4.0,3.1586978435516357,2764000
2000-02-02,4.0625,4.171875,4.0625,4.125,3.2574069499969482,4101200
2000-02-03,4.15625,4.203125,4.03125,4.03125,3.1833744049072266,3419200
2000-02-04,4.015625,4.140625,3.8125,3.921875,3.0970041751861572,2589200
2000-02-07,3.984375,4.03125,3.859375,3.890625,3.07232666015625,3120800
2000-02-08,3.921875,3.96875,3.828125,3.875,3.059988498687744,2361600
2000-02-09,3.90625,3.96875,3.71875,3.765625,2.9736173152923584,3786400
2000-02-10,3.765625,3.96875,3.765625,3.96875,3.134019613265991,3636800
2000-02-11,3.984375,3.984375,3.8125,3.90625,3.0846645832061768,3043600
2000-02-14,3.90625,3.96875,3.828125,3.9375,3.1093430519104004,2067200
2000-02-15,3.9375,4.125,3.921875,4.0625,3.2080514430999756,2679600
2000-02-16,4.09375,4.140625,3.984375,3.984375,3.1463589668273926,2467600
2000-02-17,4.015625,4.046875,3.96875,4.046875,3.1957130432128906,4590800
2000-02-18,4.046875,4.0625,3.921875,3.921875,3.0970041751861572,2795200
2000-02-22,3.90625,3.953125,3.796875,3.875,3.059988498687744,1354400
2000-02-23,3.84375,3.9375,3.671875,3.6875,2.9119246006011963,2829600
2000-02-24,3.734375,3.734375,3.4375,3.5,2.7638607025146484,5046800
2000-02-25,3.515625,3.5625,3.421875,3.46875,2.7391836643218994,5426400
2000-02-28,3.515625,3.625,3.453125,3.546875,2.800877094268799,3141200
2000-02-29,3.546875,3.8125,3.53125,3.8125,3.0106329917907715,8637600
2000-03-01,3.875,3.9375,3.8125,3.90625,3.0846645832061768,6214400
2000-03-02,4.0,4.46875,4.0,4.4375,3.5041794776916504,8708800
2000-03-03,4.4375,4.53125,4.15625,4.328125,3.4178104400634766,6155200
2000-03-06,4.28125,4.46875,4.25,4.34375,3.430148124694824,1912400
2000-03-07,4.53125,4.734375,4.40625,4.671875,3.6892595291137695,4027600
2000-03-08,4.65625,4.859375,4.53125,4.71875,3.726275682449341,6978400
2000-03-09,4.75,4.78125,4.59375,4.6875,3.7015957832336426,2698800
2000-03-10,4.609375,4.78125,4.5,4.640625,3.664584159851074,4815600
2000-03-13,4.578125,4.734375,4.546875,4.5625,3.6028881072998047,1570000
2000-03-14,4.578125,4.703125,4.53125,4.625,3.652243137359619,2675200
2000-03-15,4.6875,4.71875,4.46875,4.578125,3.6152281761169434,2478400
