Date,Open,High,Low,Close,Adj Close,Volume
2000-08-11,408.0,448.0,384.0,420.0,348.9031982421875,792500
2000-08-14,419.0,420.0,384.0,384.0,318.9972229003906,80200
2000-08-15,389.0,396.0,384.0,388.0,322.3200988769531,48400
2000-08-16,386.0,418.0,386.0,396.0,328.9659423828125,42100
2000-08-17,392.0,400.0,382.0,384.0,318.9972229003906,47200
2000-08-18,401.0,460.0,396.0,458.0,380.4706726074219,60400
2000-08-21,482.0,520.0,446.0,486.0,403.7308654785156,66500
2000-08-22,492.0,502.0,432.0,432.0,358.8719482421875,33800
2000-08-23,434.0,440.0,408.0,416.0,345.58038330078125,17900
2000-08-24,414.0,418.0,386.0,386.0,320.6586608886719,18400
2000-08-25,402.0,414.0,388.0,412.0,342.257568359375,20100
2000-08-28,429.0,433.5,400.0,420.0,348.9031982421875,19400
2000-08-29,430.0,432.0,404.0,428.0,355.5490417480469,22700
2000-08-30,427.0,470.0,424.0,454.0,377.1477966308594,19800
2000-08-31,482.0,528.0,476.0,518.0,430.31396484375,87300
2000-09-01,516.0,520.0,480.0,504.0,418.6838684082031,27700
2000-09-05,506.0,520.0,496.0,498.0,413.69964599609375,23000
2000-09-06,516.0,520.0,488.0,496.0,412.0381164550781,20500
2000-09-07,512.0,512.0,428.0,460.0,382.1322021484375,23900
2000-09-08,456.5,464.0,440.0,448.0,372.1634826660156,15900
2000-09-11,442.0,448.0,432.0,444.0,368.840576171875,34500
2000-09-12,435.0,442.0,412.0,416.0,345.58038330078125,33800
2000-09-13,408.0,420.0,396.0,400.0,332.288818359375,10300
2000-09-14,444.0,444.0,400.0,406.0,337.2731628417969,8100
2000-09-15,402.0,416.0,400.0,402.0,333.95025634765625,3600
2000-09-18,420.0,424.0,382.0,386.0,320.6586608886719,18600
2000-09-19,419.0,420.0,344.0,360.0,299.0598449707031,48000
2000-09-20,368.0,370.0,312.0,332.0,275.7997741699219,24100
2000-09-21,330.0,344.0,326.0,340.0,282.4454650878906,25200
2000-09-22,307.0,346.0,302.0,338.0,280.7840576171875,8400
2000-09-25,340.0,346.0,300.0,302.0,250.8780975341797,21000
2000-09-26,316.0,318.0,288.0,296.0,245.89376831054688,19600
2000-09-27,301.0,302.0,276.0,299.0,248.38592529296875,16700
2000-09-28,296.0,344.0,292.0,320.0,265.8310546875,22000
2000-09-29,323.0,324.0,279.0,284.0,235.925048828125,19100
2000-10-02,300.0,301.0,268.0,272.0,225.95640563964844,6800
2000-10-03,275.0,284.0,248.0,254.0,211.00340270996094,10100
2000-10-04,256.0,258.0,216.0,228.0,189.40460205078125,14600
2000-10-05,222.0,260.0,208.0,210.0,174.45159912109375,15100
2000-10-06,222.5,224.0,190.0,195.0,161.99078369140625,11400
2000-10-09,210.0,214.0,185.0,198.0,164.48297119140625,10600
2000-10-10,202.0,204.0,176.0,182.0,151.19140625,13200
2000-10-11,168.0,184.0,130.0,132.0,109.6552963256836,42400
2000-10-12,163.0,168.0,144.0,166.0,137.89988708496094,37200
2000-10-13,182.0,252.0,177.0,242.0,201.0347442626953,42800
2000-10-16,260.0,262.0,236.0,260.0,215.98768615722656,38500
2000-10-17,272.0,274.0,244.0,250.0,207.68052673339844,11000
2000-10-18,248.0,268.0,190.0,258.0,214.3262939453125,19300
2000-10-19,272.0,298.0,216.0,221.0,183.58958435058594,25900
2000-10-20,240.0,240.0,224.0,234.0,194.38893127441406,21700
2000-10-23,236.0,269.0,228.0,264.0,219.3105926513672,17800
2000-10-24,265.5,272.0,260.0,270.0,224.29493713378906,19700
2000-10-25,267.5,272.0,252.0,272.0,225.95640563964844,13200
2000-10-26,271.0,308.0,270.0,290.0,240.9093475341797,8700
2000-10-27,291.5,292.0,276.0,288.0,239.24795532226562,3300
2000-10-30,286.0,300.0,276.0,286.0,237.5865020751953,7600
2000-10-31,292.0,328.0,280.0,312.0,259.18524169921875,10400
2000-11-01,311.5,336.0,306.0,312.0,259.18524169921875,11500
2000-11-02,311.5,316.0,284.0,296.0,245.89376831054688,7800
2000-11-03,287.0,302.0,287.0,292.0,242.57078552246094,7700
2000-11-06,296.0,300.0,278.0,284.0,235.925048828125,9700
2000-11-07,288.0,288.0,280.0,284.0,235.925048828125,6600
2000-11-08,284.0,284.0,241.0,258.0,214.3262939453125,20900
2000-11-09,240.0,256.0,240.0,253.0,210.1726837158203,12600
