Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,268.75,282.5,260.0,280.625,249.77047729492188,728100
2000-01-04,280.0,298.75,272.5,273.125,243.0950469970703,710400
2000-01-05,271.875,272.5,252.5,261.25,232.52566528320312,690900
2000-01-06,265.0,277.5,260.0,263.75,234.75074768066406,513500
2000-01-07,261.25,269.375,260.0,266.875,237.5322265625,377400
2000-01-10,274.375,285.0,266.875,280.625,249.77047729492188,499600
2000-01-11,280.625,280.625,265.0,266.875,237.5322265625,505700
2000-01-12,266.25,273.75,256.875,260.625,231.9694061279297,807700
2000-01-13,260.0,283.75,252.5,280.625,249.77047729492188,781000
2000-01-14,285.625,290.0,272.5,287.5,255.88955688476562,683000
2000-01-18,283.75,296.25,275.0,279.375,248.65785217285156,592200
2000-01-19,292.03125,292.5,260.625,261.875,233.08193969726562,1073900
2000-01-20,267.5,267.5,250.0,250.625,223.0688934326172,846100
2000-01-21,251.25,252.03125,228.75,235.625,209.71812438964844,861200
2000-01-24,238.125,244.375,232.5,233.125,207.49302673339844,727900
2000-01-25,235.625,236.25,220.625,225.625,200.81761169433594,992400
2000-01-26,225.0,246.25,220.625,242.8125,216.1154022216797,981200
2000-01-27,246.875,248.75,223.125,233.75,208.0492706298828,531800
2000-01-28,230.0,233.75,224.375,226.25,201.37393188476562,500800
2000-01-31,228.125,228.75,209.375,210.625,187.46690368652344,991800
2000-02-01,211.25,212.5,193.75,199.375,177.4538116455078,1794900
2000-02-02,196.25,212.5,191.875,202.5,180.23521423339844,2183800
2000-02-03,208.125,223.125,206.25,220.0,195.8111114501953,1553800
2000-02-04,223.75,236.25,215.0,218.125,194.14227294921875,966900
2000-02-07,231.25,235.0,226.875,227.5,202.48646545410156,817300
2000-02-08,235.0,236.875,228.125,230.0,204.71160888671875,701300
2000-02-09,231.25,232.5,217.5,218.75,194.6985626220703,590900
2000-02-10,225.0,225.0,215.0,220.0,195.8111114501953,414500
2000-02-11,216.875,220.0,211.875,213.75,190.24830627441406,343200
2000-02-14,219.375,219.375,210.0,215.0,191.36085510253906,392900
2000-02-15,215.0,227.5,210.0,224.375,199.70506286621094,652900
2000-02-16,223.125,223.75,211.25,213.75,190.24830627441406,474400
2000-02-17,212.5,221.25,211.875,214.375,190.80458068847656,360400
2000-02-18,213.125,221.25,205.0,205.0,182.46034240722656,379700
2000-02-22,203.75,212.5,200.0,200.0,178.01007080078125,565800
2000-02-23,201.875,222.5,200.625,221.25,196.92367553710938,989300
2000-02-24,223.75,227.5,211.875,216.25,192.473388671875,734100
2000-02-25,216.875,225.625,215.0,222.5,198.03622436523438,566200
2000-02-28,232.5,237.65625,226.25,228.75,203.59901428222656,881100
2000-02-29,241.875,253.125,240.0,246.25,219.17491149902344,1779800
2000-03-01,258.75,270.625,255.625,261.875,233.08193969726562,1658400
2000-03-02,270.0,272.5,243.75,250.0,222.5126495361328,783600
2000-03-03,258.75,260.0,252.5,255.625,227.51913452148438,448400
2000-03-06,258.75,270.625,253.125,265.625,236.4196319580078,863100
2000-03-07,270.0,272.5,248.75,248.75,221.4000701904297,636700
2000-03-08,250.625,258.75,230.625,246.25,219.17491149902344,539400
2000-03-09,249.375,260.625,236.25,256.875,228.6317138671875,533600
2000-03-10,250.0,271.25,248.75,265.0,235.8634033203125,805400
2000-03-13,248.75,265.0,245.0,257.5,229.18801879882812,530900
2000-03-14,269.375,279.375,249.375,250.625,223.0688934326172,996600
2000-03-15,253.75,260.0,247.5,258.75,230.300537109375,581200
2000-03-16,259.375,265.0,249.375,261.875,233.08193969726562,494200
2000-03-17,263.75,295.0,257.5,292.5,260.33978271484375,1947300
2000-03-20,298.75,301.25,280.0,284.375,253.10809326171875,1030700
2000-03-21,283.75,285.0,265.0,276.25,245.87646484375,583100
2000-03-22,281.25,289.6875,276.875,286.25,255.29676818847656,637200
2000-03-23,283.125,291.25,277.5,278.75,248.60772705078125,647800
2000-03-24,285.625,326.25,285.0,320.0,285.3972473144531,2206100
2000-03-27,326.25,342.5,318.75,326.25,291.48382568359375,1074400
2000-03-28,325.625,330.0,305.0,306.875,274.1734619140625,546100
2000-03-29,310.0,318.125,290.0,295.0,263.5638732910156,728200
2000-03-30,282.5,298.75,277.5,288.125,257.4215087890625,652300
2000-03-31,296.25,301.25,269.375,301.25,269.14801025390625,626700
2000-04-03,306.25,311.875,271.875,274.375,245.13677978515625,839400
2000-04-04,275.0,276.25,203.75,243.75,217.77528381347656,2164900
2000-04-05,231.875,248.125,225.0,235.0,209.95770263671875,1234400
2000-04-06,242.5,249.375,230.625,243.75,217.77528381347656,635500
2000-04-07,251.875,258.125,236.25,245.625,219.45045471191406,664900
2000-04-10,252.5,256.875,242.5,243.75,217.77528381347656,586900
2000-04-11,238.125,244.375,227.5,234.375,209.39932250976562,751200
2000-04-12,250.0,252.5,225.625,227.5,203.2569122314453,1185300
2000-04-13,238.125,245.625,220.0,221.25,197.67294311523438,826400
2000-04-14,214.375,217.5,188.75,191.875,171.42823791503906,1268100
2000-04-17,178.75,195.625,160.625,181.875,162.49388122558594,1338800
2000-04-18,191.25,219.375,182.5,215.0,192.08897399902344,1218100
2000-04-19,216.25,217.5,204.375,205.625,183.7129669189453,677800
2000-04-20,210.0,213.75,196.875,201.25,179.80416870117188,485800
2000-04-24,190.625,201.875,184.375,200.625,179.24581909179688,521000
2000-04-25,204.375,211.875,200.625,208.75,186.50494384765625,608700
2000-04-26,211.875,212.5,200.0,200.0,178.68740844726562,343600
2000-04-27,192.5,219.375,190.0,218.75,195.43936157226562,780400
2000-04-28,220.625,226.25,213.75,215.0,192.08897399902344,433100
2000-05-01,218.75,218.75,207.5,208.125,185.94656372070312,442800
2000-05-02,203.125,204.375,196.25,196.25,175.33700561523438,403400
2000-05-03,194.375,195.0,188.125,193.125,172.54502868652344,402400
2000-05-04,195.625,203.125,193.125,200.0,178.68740844726562,472600
2000-05-05,199.375,203.75,195.0,198.125,177.01222229003906,444100
2000-05-08,198.125,210.0,197.5,209.375,187.0633544921875,451700
2000-05-09,208.125,215.0,203.125,207.5,185.38815307617188,633700
2000-05-10,202.1875,203.125,191.25,199.375,178.12899780273438,739800
2000-05-11,202.5,206.25,191.25,193.125,172.54502868652344,369000
2000-05-12,197.5,201.25,196.875,198.125,177.01222229003906,320500
2000-05-15,200.625,207.5,193.125,206.25,184.2713623046875,368900
2000-05-16,208.75,212.5,200.625,205.625,183.7129669189453,624300
2000-05-17,200.625,203.75,196.875,198.75,177.5706024169922,323300
2000-05-18,200.0,202.5,194.375,200.625,179.24581909179688,696500
2000-05-19,196.25,198.75,192.5,193.75,173.10340881347656,333700
2000-05-22,193.125,193.125,153.125,165.0,147.4171142578125,2067000
2000-05-23,166.25,169.375,156.25,157.5,140.71632385253906,772800
2000-05-24,156.25,157.5,131.25,139.375,124.52276611328125,2380400
2000-05-25,146.25,157.5,145.625,151.25,135.13233947753906,1009000
2000-05-26,151.875,154.375,145.0,148.75,132.8987579345703,381500
2000-05-30,151.25,160.0,149.375,159.375,142.39151000976562,390000
2000-05-31,158.125,166.25,153.125,155.625,139.04115295410156,524300
2000-06-01,155.625,166.25,151.875,163.75,146.30030822753906,483400
2000-06-02,178.75,188.125,178.75,183.75,164.16903686523438,679300
2000-06-05,182.5,190.0,175.625,179.375,160.26026916503906,315300
2000-06-06,179.375,181.25,168.75,168.75,150.76748657226562,312000
2000-06-07,182.5,192.5,175.0,192.5,171.98660278320312,800900
2000-06-08,193.125,194.375,177.5,179.375,160.26026916503906,419700
2000-06-09,184.375,187.5,178.75,181.875,162.49388122558594,183600
2000-06-12,181.875,183.125,175.0,175.625,156.9098663330078,299600
2000-06-13,175.0,178.125,167.5,171.875,153.55947875976562,409700
2000-06-14,172.5,173.125,163.75,166.25,148.53390502929688,481700
2000-06-15,167.5,175.0,163.75,171.25,153.00108337402344,390100
2000-06-16,174.375,176.25,170.0,176.25,157.46824645996094,433400
2000-06-19,174.375,180.0,170.625,178.75,159.7018585205078,308800
2000-06-20,180.625,185.0,178.125,182.5,163.05221557617188,300300
2000-06-21,181.25,186.875,175.0,178.75,159.7018585205078,308600
2000-06-22,180.625,181.25,173.125,173.125,154.67625427246094,188600
2000-06-23,175.625,175.625,170.0,170.625,152.44271850585938,248200
2000-06-26,170.625,171.25,163.125,166.25,148.53390502929688,288900
2000-06-27,165.625,167.5,160.0,160.0,142.9499053955078,281400
2000-06-28,161.25,170.0,160.0,170.0,151.88429260253906,594900
2000-06-29,166.25,176.875,164.375,170.0,151.88429260253906,267900
2000-06-30,169.375,171.875,161.875,165.0,147.4171142578125,217500
2000-07-03,165.0,165.625,162.5,165.625,147.9755096435547,60900
2000-07-05,161.875,168.75,161.25,163.125,145.74191284179688,168900
2000-07-06,163.75,165.0,158.75,160.0,142.9499053955078,238200
2000-07-07,160.625,163.125,156.25,158.125,141.2747344970703,207900
2000-07-10,158.125,160.0,155.625,156.875,140.15792846679688,189200
2000-07-11,158.125,160.625,155.625,156.875,140.15792846679688,260300
2000-07-12,161.875,170.0,160.0,165.0,147.4171142578125,358300
2000-07-13,167.5,184.84375,164.375,183.125,163.6106414794922,739400
2000-07-14,183.75,198.75,178.75,197.5,176.45382690429688,870900
2000-07-17,198.75,199.375,188.75,191.25,170.86981201171875,529200
2000-07-18,188.125,188.125,177.5,179.375,160.26026916503906,466200
2000-07-19,190.0,197.5,176.25,177.5,158.58505249023438,892300
2000-07-20,179.375,183.125,177.5,179.375,160.26026916503906,360500
2000-07-21,179.375,179.375,173.125,174.375,155.79306030273438,257100
2000-07-24,174.375,174.375,163.125,163.28125,145.88148498535156,343500
2000-07-25,166.25,171.875,160.625,171.25,153.00108337402344,367100
2000-07-26,168.75,170.0,159.375,161.25,144.06674194335938,476800
2000-07-27,160.625,161.25,152.5,154.375,137.9243621826172,343100
2000-07-28,155.0,157.5,143.75,145.625,130.10675048828125,515400
2000-07-31,146.875,151.25,143.75,150.0,134.0155487060547,503900
2000-08-01,151.25,151.875,143.125,143.75,128.43157958984375,371800
2000-08-02,143.125,143.75,138.75,139.375,124.52276611328125,496200
2000-08-03,137.5,151.25,131.875,150.0,134.0155487060547,825900
2000-08-04,150.625,153.125,144.375,146.25,130.66514587402344,428900
2000-08-07,147.34375,151.25,145.625,150.625,134.57400512695312,252800
2000-08-08,148.125,148.75,141.25,143.125,127.87313842773438,330800
2000-08-09,146.25,158.125,142.5,154.375,137.9243621826172,577400
2000-08-10,153.75,155.0,148.125,154.375,137.9243621826172,439300
2000-08-11,152.5,154.375,150.625,153.75,137.36595153808594,413900
2000-08-14,155.0,164.375,152.5,163.125,145.74191284179688,407400
2000-08-15,162.5,168.125,158.75,160.0,142.9499053955078,438600
2000-08-16,160.625,163.75,155.0,156.875,140.15792846679688,227900
2000-08-17,153.125,170.625,150.625,170.625,152.44271850585938,500600
2000-08-18,170.0,171.25,163.75,163.75,146.30030822753906,396600
2000-08-21,165.625,175.625,164.375,171.25,153.00108337402344,458800
2000-08-22,172.5,183.125,170.0,172.5,154.1178741455078,954500
2000-08-23,171.25,171.875,165.0,167.5,149.6506805419922,240400
2000-08-24,166.25,172.5,165.625,169.375,151.32589721679688,286000
2000-08-25,169.375,172.5,167.5,168.125,150.20907592773438,306700
2000-08-28,168.125,178.125,166.25,175.0,156.35145568847656,396000
2000-08-29,175.0,185.0,171.875,178.75,159.7018585205078,367800
2000-08-30,178.75,184.375,176.875,180.0,160.8186798095703,435000
2000-08-31,179.375,185.0,176.875,177.5,158.58505249023438,240300
2000-09-01,180.625,185.625,177.5,178.75,159.7018585205078,238300
2000-09-05,179.375,185.0,176.25,180.625,161.3770751953125,296000
2000-09-06,193.125,201.875,183.125,183.75,164.16903686523438,1654200
2000-09-07,191.875,192.5,184.375,190.625,170.31141662597656,552500
2000-09-08,184.375,186.875,181.25,182.5,163.05221557617188,405400
2000-09-11,183.75,195.15625,183.75,187.5,167.51943969726562,297700
2000-09-12,188.75,191.875,181.875,185.0,165.2858428955078,326700
2000-09-13,184.375,200.625,181.25,193.125,172.54502868652344,833500
2000-09-14,193.125,196.25,188.75,193.75,173.10340881347656,542700
2000-09-15,196.25,196.25,187.5,195.0,174.22021484375,433100
2000-09-18,194.375,194.375,186.25,191.25,170.86981201171875,354800
2000-09-19,191.25,191.25,185.625,187.5,167.51943969726562,299400
2000-09-20,187.5,190.0,185.625,188.75,168.63621520996094,233300
2000-09-21,188.125,191.875,185.0,188.75,168.63621520996094,293800
2000-09-22,180.0,185.625,177.5,185.625,165.84423828125,246800
2000-09-25,185.0,187.5,178.75,181.25,161.93544006347656,219600
2000-09-26,181.25,181.25,168.125,168.125,150.20907592773438,294200
2000-09-27,170.625,171.25,157.5,160.0,142.9499053955078,378400
2000-09-28,155.625,169.375,155.0,166.25,148.53390502929688,318800
2000-09-29,161.25,169.375,158.125,164.375,146.8587188720703,326200
2000-10-02,164.375,165.0,157.5,158.75,141.8331298828125,215000
2000-10-03,158.75,165.0,155.0,158.125,141.2747344970703,181600
2000-10-04,149.375,155.0,146.25,152.5,136.24913024902344,357300
2000-10-05,151.25,158.75,148.59375,153.75,137.36595153808594,284500
2000-10-06,153.75,156.25,142.5,144.375,128.9899444580078,332800
2000-10-09,141.25,143.75,136.875,140.625,125.63960266113281,251800
2000-10-10,156.875,163.125,132.5,133.75,119.49720001220703,796200
2000-10-11,133.125,135.625,126.875,130.625,116.7052001953125,521400
2000-10-12,132.5,133.75,125.0,127.5,113.91321563720703,485000
2000-10-13,122.5,137.5,121.25,136.875,122.28919219970703,403900
2000-10-16,135.625,140.0,130.625,131.25,117.26360321044922,174800
2000-10-17,130.625,136.25,120.0,120.625,107.77084350585938,532800
2000-10-18,115.0,120.625,105.625,114.375,102.18685150146484,484500
2000-10-19,130.0,146.25,122.5,145.0,129.54835510253906,1085800
2000-10-20,154.375,163.125,151.25,158.125,141.2747344970703,866700
2000-10-23,156.25,157.5,150.0,152.5,136.24913024902344,229600
2000-10-24,154.375,154.375,142.5,145.625,130.10675048828125,337200
2000-10-25,141.25,144.375,128.75,136.875,122.28919219970703,202900
2000-10-26,136.25,141.875,128.125,138.75,123.96441650390625,301200
2000-10-27,141.25,143.75,135.625,136.875,122.28919219970703,249700
2000-10-30,134.375,141.25,134.375,138.75,123.96441650390625,242200
2000-10-31,140.625,148.75,138.125,145.625,130.10675048828125,339800
2000-11-01,141.875,145.0,140.0,143.75,128.43157958984375,234400
2000-11-02,145.0,156.25,143.125,155.625,139.04115295410156,405600
2000-11-03,154.375,155.0,147.5,148.125,132.34034729003906,191100
2000-11-06,150.625,151.25,145.625,146.875,131.22357177734375,225100
2000-11-07,146.875,146.875,141.25,143.75,128.43157958984375,265600
2000-11-08,143.125,143.75,133.75,134.375,120.05559539794922,284000
2000-11-09,132.5,138.125,128.75,134.375,120.05559539794922,333100
2000-11-10,131.875,132.5,127.5,127.5,113.91321563720703,572400
2000-11-13,125.0,127.5,117.5,122.5,109.44603729248047,309500
2000-11-14,128.75,129.375,125.625,128.125,114.47162628173828,241500
2000-11-15,128.75,132.5,124.375,126.875,113.35482788085938,256500
2000-11-16,125.3125,126.25,118.75,119.375,106.65404510498047,196000
2000-11-17,118.75,120.0,115.625,116.875,104.42044830322266,259500
2000-11-20,114.375,116.875,110.0,110.625,98.83647155761719,393000
2000-11-21,110.625,112.5,106.875,106.875,95.486083984375,397200
2000-11-22,105.0,105.625,98.75,101.25,90.46049499511719,503900
2000-11-24,101.875,110.0,100.625,108.75,97.1612548828125,265400
2000-11-27,109.375,109.375,101.25,101.25,90.46049499511719,349300
2000-11-28,100.625,105.625,99.375,101.875,91.01891326904297,455600
2000-11-29,104.375,104.375,93.75,94.6875,84.59730529785156,408200
2000-11-30,87.5,88.125,71.25,80.0,71.4749526977539,1554000
2000-12-01,81.875,85.9375,78.125,83.125,74.26695251464844,824500
2000-12-04,80.625,90.3125,80.0,89.6875,80.13013458251953,769300
2000-12-05,91.5625,105.0,90.0,101.875,91.01891326904297,760500
2000-12-06,102.5,102.5,90.0,90.3125,80.68853759765625,505700
2000-12-07,89.0625,91.25,83.75,86.25,77.0589370727539,464300
2000-12-08,91.875,100.0,90.625,99.6875,89.06449890136719,510200
2000-12-11,98.125,101.25,92.5,100.0,89.34370422363281,489500
2000-12-12,97.8125,98.4375,93.125,93.125,83.2013168334961,365300
2000-12-13,96.25,96.5625,87.5,88.75,79.29252624511719,484500
2000-12-14,88.75,89.0625,82.5,83.75,74.8253402709961,316900
2000-12-15,83.75,85.3125,78.75,84.375,75.38374328613281,520400
2000-12-18,86.875,87.5,79.6875,83.75,74.8253402709961,351300
2000-12-19,83.4375,86.25,77.5,78.4375,70.07896423339844,370000
2000-12-20,74.375,77.5,71.25,72.5,64.77417755126953,495500
2000-12-21,71.25,75.3125,66.5625,67.5,60.307003021240234,618000
2000-12-22,70.0,75.9375,68.75,75.0,67.00777435302734,702800
2000-12-26,73.75,77.1875,72.5,74.375,66.44937896728516,357600
2000-12-27,71.25,76.25,71.25,73.4375,65.61178588867188,324100
2000-12-28,70.9375,79.375,70.625,74.6875,66.72856140136719,495100
2000-12-29,73.125,77.5,71.25,73.75,65.8909683227539,635500
2001-01-02,75.0,77.1875,71.25,73.75,65.8909683227539,319300
2001-01-03,71.25,96.875,70.625,95.0,84.87652587890625,789600
2001-01-04,94.375,110.0,90.0,107.5,96.04448699951172,1398600
2001-01-05,110.0,110.625,93.75,96.875,86.55170440673828,694100
2001-01-08,87.5,103.75,83.75,96.875,86.55170440673828,501500
2001-01-09,94.84375,98.125,92.5,97.5,87.110107421875,413400
2001-01-10,95.9375,100.625,92.5,99.6875,89.06449890136719,397700
2001-01-11,98.125,121.875,98.125,120.625,107.77084350585938,1578800
2001-01-12,121.875,123.75,115.0,119.375,106.65404510498047,931200
2001-01-16,118.125,126.875,115.0,122.5,109.44603729248047,659800
2001-01-17,128.125,131.25,125.0,125.625,112.23802185058594,659900
2001-01-18,124.375,125.625,117.5,121.875,108.88764190673828,570700
2001-01-19,128.75,128.75,121.25,125.625,112.23802185058594,452000
2001-01-22,124.375,126.25,122.5,123.125,110.00440979003906,555100
2001-01-23,126.875,131.875,125.0,130.625,116.7052001953125,568700
2001-01-24,133.75,145.0,131.25,139.6875,124.80197143554688,844000
2001-01-25,145.625,148.125,136.25,139.375,124.52276611328125,837700
2001-01-26,136.875,138.75,131.25,136.25,121.73079681396484,545500
2001-01-29,136.25,149.375,132.5,149.375,133.45712280273438,541400
2001-01-30,147.5,153.75,145.0,145.625,130.10675048828125,833400
2001-01-31,148.125,149.375,138.75,140.0,125.08116149902344,556300
2001-02-01,140.0,141.875,135.625,138.75,123.96441650390625,226900
2001-02-02,138.125,138.75,121.875,123.75,110.56281280517578,752000
2001-02-05,121.875,130.625,120.625,130.0,116.14683532714844,528400
2001-02-06,129.375,133.125,126.875,130.0,116.14683532714844,339900
2001-02-07,126.875,130.0,124.375,124.375,111.12122344970703,260500
2001-02-08,126.25,129.375,123.125,125.0,111.67962646484375,217800
2001-02-09,123.75,125.0,118.75,120.9375,108.05004119873047,394300
2001-02-12,120.625,123.75,119.375,122.5,109.44603729248047,184800
2001-02-13,124.375,128.75,123.75,125.0,111.67962646484375,297100
2001-02-14,125.0,128.125,121.875,126.875,113.35482788085938,309600
2001-02-15,130.5,132.0,127.0999984741211,127.0999984741211,113.55583953857422,197700
2001-02-16,125.0,125.0,122.5,124.5,111.23289489746094,133400
2001-02-20,124.5,125.69999694824219,112.69999694824219,113.0,100.95838928222656,176700
2001-02-21,111.0,112.30000305175781,107.5,109.5999984741211,97.92070007324219,233800
2001-02-22,107.0,107.0999984741211,98.4000015258789,100.0,89.34370422363281,395200
2001-02-23,97.0,100.4000015258789,92.0,94.19999694824219,84.16175842285156,332300
2001-02-26,96.5,107.5,96.0,107.5,96.04448699951172,317300
2001-02-27,102.0,104.5,99.80000305175781,99.9000015258789,89.25434112548828,238200
2001-02-28,100.9000015258789,101.4000015258789,90.0999984741211,90.0999984741211,80.4986572265625,347100
2001-03-01,90.9000015258789,92.80000305175781,86.0999984741211,92.5,82.6429214477539,250200
2001-03-02,89.69999694824219,96.5999984741211,88.0,92.5,82.6429214477539,215400
2001-03-05,92.5,96.0,92.0,93.5,83.53636169433594,171900
2001-03-06,95.0,99.5,95.0,99.5,88.89698028564453,139200
2001-03-07,98.5,99.69999694824219,95.0,96.30000305175781,86.0379867553711,136800
2001-03-08,96.30000305175781,96.30000305175781,91.19999694824219,92.0,82.19619750976562,108400
2001-03-09,90.0,90.0999984741211,81.30000305175781,81.69999694824219,72.9937973022461,313900
2001-03-12,80.30000305175781,80.30000305175781,72.5999984741211,73.5999984741211,65.75696563720703,341100
2001-03-13,75.5,78.5,74.0999984741211,76.5,68.34793853759766,214700
2001-03-14,73.5,78.30000305175781,72.5999984741211,74.5,66.5610580444336,202200
2001-03-15,79.5,79.5,75.80000305175781,76.5,68.34793853759766,193200
2001-03-16,76.0999984741211,76.30000305175781,71.5999984741211,72.5,64.77417755126953,201000
2001-03-19,72.0,81.19999694824219,71.5,80.5999984741211,72.01101684570312,234000
2001-03-20,80.5999984741211,82.0,73.0,74.5999984741211,66.6504135131836,243300
2001-03-21,72.5,76.0,68.5,68.5,61.2004280090332,242100
2001-03-22,67.80000305175781,69.5,65.0,65.80000305175781,58.78816223144531,713200
2001-03-23,67.80000305175781,69.80000305175781,66.4000015258789,69.5999984741211,62.18321990966797,349400
2001-03-26,74.0,74.19999694824219,70.0999984741211,71.19999694824219,63.612701416015625,151500
2001-03-27,71.5,72.30000305175781,70.0,72.0,64.32746887207031,209000
2001-03-28,70.19999694824219,70.19999694824219,67.30000305175781,67.30000305175781,60.12830352783203,154300
2001-03-29,67.0,67.5999984741211,64.30000305175781,64.5,57.626686096191406,143700
2001-03-30,67.5,69.80000305175781,63.5,69.80000305175781,62.361907958984375,248400
2001-04-02,69.4000015258789,69.4000015258789,61.0,61.5,54.94636917114258,188700
2001-04-03,61.0,61.20000076293945,55.099998474121094,56.5,50.47919464111328,390700
2001-04-04,55.0,58.0,53.20000076293945,55.599998474121094,49.67509841918945,250000
2001-04-05,60.0,64.5,59.0,64.5,57.626686096191406,231700
2001-04-06,62.0,62.0,60.0,60.400001525878906,53.96359634399414,133800
2001-04-09,60.5,62.400001525878906,60.5,62.29999923706055,55.6611213684082,104800
2001-04-10,64.5,76.5,63.900001525878906,75.5,67.45449829101562,448900
2001-04-11,76.5,82.5,75.80000305175781,77.5,69.24137878417969,395300
2001-04-12,75.0,88.0999984741211,74.0999984741211,87.69999694824219,78.35440826416016,365300
2001-04-16,84.5999984741211,84.80000305175781,77.5,81.5,72.81510162353516,215900
2001-04-17,77.69999694824219,82.19999694824219,77.0,81.9000015258789,73.17250061035156,140000
2001-04-18,85.0,93.30000305175781,84.5,89.5,79.96261596679688,376000
2001-04-19,91.9000015258789,93.0,89.5,93.0,83.08963775634766,226300
2001-04-20,92.9000015258789,97.5,90.0,95.5,85.3232192993164,266100
2001-04-23,96.4000015258789,96.4000015258789,85.5,85.5,76.38885498046875,576800
2001-04-24,85.0,88.69999694824219,82.9000015258789,83.9000015258789,74.95936584472656,129300
2001-04-25,82.0,88.5999984741211,81.0,87.4000015258789,78.0864028930664,221900
2001-04-26,86.5,92.5999984741211,86.5,91.0,81.30276489257812,139700
2001-04-27,92.0,94.30000305175781,92.0,93.80000305175781,83.80438995361328,107200
2001-04-30,94.0999984741211,96.0999984741211,93.9000015258789,94.0,83.98307037353516,129000
2001-05-01,91.5,92.80000305175781,88.0,91.5,81.74948120117188,144700
2001-05-02,94.0,96.19999694824219,92.69999694824219,96.0,85.76993560791016,248400
2001-05-03,95.0,95.0,91.5,91.69999694824219,81.92816162109375,132000
2001-05-04,90.69999694824219,96.0,89.0,96.0,85.76993560791016,201500
2001-05-07,94.5,95.9000015258789,92.0,93.4000015258789,83.44701385498047,205200
2001-05-08,93.30000305175781,94.4000015258789,91.0,91.80000305175781,82.01751708984375,157500
2001-05-09,90.0999984741211,92.5,89.19999694824219,91.9000015258789,82.10685729980469,121500
2001-05-10,93.80000305175781,95.0,91.0,91.0,81.30276489257812,89600
2001-05-11,93.0,93.9000015258789,89.5999984741211,90.69999694824219,81.03473663330078,125200
2001-05-14,90.0,90.0999984741211,86.0,87.5,78.17572784423828,140500
2001-05-15,88.0,90.0,85.0999984741211,90.0,80.40933990478516,153200
2001-05-16,89.0,92.4000015258789,87.0999984741211,92.0,82.19619750976562,179900
2001-05-17,92.0,94.0,91.19999694824219,94.0,83.98307037353516,142900
2001-05-18,93.30000305175781,93.4000015258789,91.0,92.0,82.19619750976562,94500
2001-05-21,92.30000305175781,102.0,91.5,102.0,91.13056945800781,252800
2001-05-22,99.0,99.0,87.30000305175781,87.4000015258789,78.0864028930664,1487700
2001-05-23,86.0,94.4000015258789,83.5,83.9000015258789,74.95936584472656,706700
2001-05-24,84.0,84.5,79.9000015258789,82.5999984741211,73.79789733886719,568800
2001-05-25,82.5999984741211,84.5,81.5,83.4000015258789,74.51265716552734,455600
2001-05-29,82.5999984741211,82.5999984741211,78.0999984741211,78.5999984741211,70.22413635253906,323000
2001-05-30,78.80000305175781,78.80000305175781,75.0999984741211,76.0,67.9012222290039,211300
2001-05-31,75.0999984741211,78.5,75.0,75.0,67.00777435302734,277700
2001-06-01,75.30000305175781,77.80000305175781,74.0,77.4000015258789,69.15203857421875,570400
2001-06-04,78.4000015258789,79.0999984741211,76.80000305175781,78.19999694824219,69.86678314208984,268600
2001-06-05,78.80000305175781,80.5,78.0999984741211,80.0,71.4749526977539,272000
2001-06-06,80.0,80.5999984741211,75.69999694824219,77.5,69.24137878417969,341700
2001-06-07,77.0,77.0999984741211,72.80000305175781,72.80000305175781,65.04222106933594,459800
2001-06-08,74.5,74.80000305175781,70.5999984741211,73.0,65.22091674804688,300500
2001-06-11,73.0999984741211,73.0999984741211,69.69999694824219,70.30000305175781,62.80863571166992,181000
2001-06-12,70.0999984741211,72.0,68.5,71.0,63.43402099609375,235600
2001-06-13,71.0999984741211,72.5999984741211,69.5,69.5,62.093868255615234,108400
2001-06-14,69.0,69.30000305175781,64.5,64.9000015258789,57.98405838012695,432500
2001-06-15,63.0,64.80000305175781,62.0,62.599998474121094,55.92914962768555,324900
2001-06-18,62.70000076293945,64.0,58.5,59.900001525878906,53.51688003540039,297300
2001-06-19,61.20000076293945,63.0,58.5,59.5,53.15949249267578,184500
2001-06-20,59.400001525878906,64.69999694824219,58.79999923706055,64.69999694824219,57.80537796020508,272700
2001-06-21,64.5,64.5,62.099998474121094,64.19999694824219,57.35865020751953,209500
2001-06-22,64.80000305175781,65.5999984741211,62.5,65.5,58.52012634277344,188300
