Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,25.75,25.75,25.0,25.25,11.592144012451172,784700
2000-01-04,25.1875,25.625,25.0,25.3125,11.620837211608887,454900
2000-01-05,25.5,26.75,25.4375,26.375,12.108624458312988,1252600
2000-01-06,26.3125,26.3125,25.8125,25.875,11.879072189331055,638600
2000-01-07,25.9375,26.125,25.8125,25.875,11.879072189331055,1220300
2000-01-10,26.0625,26.25,25.6875,25.75,11.821685791015625,609400
2000-01-11,25.6875,26.125,25.6875,25.9375,11.907771110534668,507600
2000-01-12,25.8125,26.125,25.6875,25.8125,11.850383758544922,575300
2000-01-13,25.6875,25.875,25.3125,25.3125,11.620837211608887,769100
2000-01-14,25.5,25.625,25.1875,25.25,11.592144012451172,780300
2000-01-18,25.0,25.0,24.5,24.5625,11.276516914367676,600900
2000-01-19,24.375,24.5625,24.125,24.25,11.133048057556152,2150500
2000-01-20,24.5,24.5,23.75,23.9375,10.98957633972168,956100
2000-01-21,24.0,24.375,23.9375,24.1875,11.104351997375488,922400
2000-01-24,24.125,24.4375,23.0,23.0,10.559179306030273,1222900
2000-01-25,23.0,23.125,22.25,22.25,10.21485424041748,1263100
2000-01-26,22.3125,22.5,22.125,22.1875,10.186164855957031,749800
2000-01-27,22.25,23.0,22.1875,23.0,10.559179306030273,1089500
2000-01-28,22.75,24.0,22.6875,23.625,10.846114158630371,1337600
2000-01-31,23.625,25.0,23.625,24.9375,11.4486722946167,1183800
2000-02-01,25.0,25.75,25.0,25.5,11.706913948059082,1118500
2000-02-02,25.3125,25.5,24.75,24.9375,11.4486722946167,849100
2000-02-03,25.0625,25.6875,25.0,25.4375,11.67822265625,584600
2000-02-04,25.5625,25.5625,24.875,24.9375,11.4486722946167,621900
2000-02-07,24.9375,25.125,24.625,24.625,11.305206298828125,537500
2000-02-08,24.625,25.0,24.625,24.625,11.305206298828125,431200
2000-02-09,24.625,24.6875,23.8125,23.875,10.96088981628418,787600
2000-02-10,23.875,24.25,23.375,23.375,10.731338500976562,800700
2000-02-11,23.125,23.375,23.0,23.125,10.754592895507812,2214600
2000-02-14,23.0,23.8125,23.0,23.5,10.928991317749023,531100
2000-02-15,23.375,23.4375,22.75,22.8125,10.609258651733398,899600
2000-02-16,22.75,22.8125,22.25,22.375,10.405791282653809,765900
2000-02-17,22.375,22.6875,21.9375,21.9375,10.202330589294434,593300
2000-02-18,22.1875,22.1875,21.375,21.4375,9.969797134399414,1356100
2000-02-22,21.625,22.0,21.5625,21.625,10.056997299194336,1026700
2000-02-23,21.5,21.6875,21.25,21.3125,9.911666870117188,985700
2000-02-24,21.1875,21.3125,20.0,20.375,9.475668907165527,951100
2000-02-25,20.5,20.9375,20.25,20.25,9.417535781860352,695800
2000-02-28,19.75,20.9375,19.75,20.875,9.708198547363281,756600
2000-02-29,20.75,20.875,20.03125,20.25,9.417535781860352,986900
2000-03-01,20.4375,20.4375,20.0625,20.375,9.475668907165527,1107500
2000-03-02,20.4375,20.5,20.3125,20.4375,9.504730224609375,597900
2000-03-03,20.5,20.5625,20.3125,20.375,9.475668907165527,601200
2000-03-06,19.375,19.5,15.9375,16.6875,7.760749340057373,1874800
2000-03-07,17.25,18.25,17.25,17.3125,8.051411628723145,3353000
2000-03-08,17.3125,17.4375,16.8125,17.3125,8.051411628723145,2388000
2000-03-09,17.25,18.0,17.125,17.8125,8.283945083618164,1177100
2000-03-10,17.8125,18.3125,17.8125,17.9375,8.342076301574707,753400
2000-03-13,18.0,18.375,18.0,18.25,8.487409591674805,731600
2000-03-14,18.0625,18.1875,17.125,17.5625,8.167677879333496,522800
2000-03-15,17.5,18.875,17.5,18.375,8.545543670654297,1231000
2000-03-16,18.75,19.5625,18.75,19.375,9.010605812072754,1175400
2000-03-17,19.375,19.5625,19.125,19.5,9.068737030029297,1186500
2000-03-20,19.3125,20.1875,19.3125,19.9375,9.272202491760254,1144700
2000-03-21,19.875,19.9375,19.5,19.875,9.243138313293457,689400
2000-03-22,19.625,19.625,19.125,19.25,8.952474594116211,794800
2000-03-23,19.25,19.6875,18.8125,19.6875,9.155941009521484,605500
2000-03-24,19.4375,19.875,19.375,19.875,9.243138313293457,469100
2000-03-27,19.8125,20.3125,19.8125,20.0,9.30126953125,465100
2000-03-28,19.75,20.125,19.6875,20.0,9.30126953125,960100
2000-03-29,20.0,20.625,20.0,20.375,9.475668907165527,750700
2000-03-30,20.125,20.4375,19.6875,19.6875,9.155941009521484,984400
2000-03-31,19.6875,20.375,19.375,20.1875,9.388465881347656,791700
2000-04-03,20.25,20.625,19.9375,20.125,9.35940170288086,506800
2000-04-04,20.25,21.0,20.25,20.6875,9.620999336242676,580300
2000-04-05,20.9375,22.75,20.8125,21.625,10.056997299194336,1104500
2000-04-06,21.3125,21.5625,20.5,20.6875,9.620999336242676,718600
2000-04-07,20.125,20.875,20.125,20.5,9.533802032470703,1010400
2000-04-10,20.4375,21.3125,20.4375,21.125,9.824463844299316,468900
2000-04-11,21.1875,21.9375,21.1875,21.9375,10.202330589294434,1108700
2000-04-12,22.125,22.75,22.125,22.3125,10.376727104187012,1203100
2000-04-13,22.3125,23.625,22.25,23.5625,10.958053588867188,845400
2000-04-14,23.3125,24.0625,22.6875,22.9375,10.667393684387207,618800
2000-04-17,22.75,23.25,21.9375,23.1875,10.783658981323242,930200
2000-04-18,23.3125,23.5625,22.9375,23.0,10.696463584899902,584100
2000-04-19,23.0,23.0625,22.0625,22.75,10.580193519592285,314100
2000-04-20,22.6875,23.4375,22.625,23.3125,10.841790199279785,500800
2000-04-24,24.375,24.875,24.0625,24.8125,11.539383888244629,716600
2000-04-25,25.0,25.8125,25.0,25.375,11.800990104675293,1046200
2000-04-26,25.5,27.4375,25.3125,27.125,12.614842414855957,869300
2000-04-27,26.875,26.875,25.6875,25.8125,12.0044527053833,1331100
2000-04-28,25.8125,25.8125,24.875,25.4375,11.83005142211914,856700
2000-05-01,25.5,26.25,25.3125,25.8125,12.0044527053833,772800
2000-05-02,25.8125,26.0625,25.25,25.375,11.800990104675293,792600
2000-05-03,25.3125,25.8125,25.25,25.375,11.800990104675293,549900
2000-05-04,25.3125,26.375,25.3125,25.9375,12.06258487701416,898600
2000-05-05,25.625,25.875,25.5625,25.8125,12.0044527053833,551400
2000-05-08,25.625,27.1875,25.625,26.75,12.440449714660645,581300
2000-05-09,26.75,26.875,26.3125,26.8125,12.469511032104492,500100
2000-05-10,26.875,27.875,26.8125,27.5625,12.818310737609863,724600
2000-05-11,27.5625,27.625,27.3125,27.5,12.78924560546875,462500
2000-05-12,27.25,27.25,26.625,26.75,12.577658653259277,2079300
2000-05-15,26.75,27.5625,26.3125,26.5,12.460111618041992,937500
2000-05-16,26.75,26.875,25.8125,26.5625,12.489494323730469,534100
2000-05-17,26.375,26.375,25.4375,25.6875,12.078080177307129,379000
2000-05-18,25.875,27.0625,25.875,26.3125,12.3719482421875,401800
2000-05-19,26.0625,26.9375,25.9375,26.9375,12.665821075439453,612400
2000-05-22,26.8125,27.8125,26.75,27.3125,12.842138290405273,404800
2000-05-23,27.125,27.6875,26.875,27.4375,12.900918960571289,1366300
2000-05-24,27.5,28.3125,27.5,28.0625,13.194783210754395,1712600
2000-05-25,28.0,28.0,27.375,28.0,13.165404319763184,947400
2000-05-26,28.1875,28.625,28.1875,28.3125,13.312337875366211,537900
2000-05-30,28.5,28.5625,28.1875,28.5625,13.42988109588623,991800
2000-05-31,28.5625,29.75,28.5625,29.25,13.753130912780762,974100
2000-06-01,29.125,29.1875,28.5,28.5,13.400489807128906,1135100
2000-06-02,30.25,30.4375,29.3125,29.3125,13.782526969909668,972500
2000-06-05,29.125,29.125,28.25,28.4375,13.371108055114746,778400
2000-06-06,28.3125,29.4375,28.25,29.0,13.635588645935059,802200
2000-06-07,29.25,30.0,29.125,30.0,14.10578727722168,1063000
2000-06-08,29.9375,29.9375,29.375,29.5625,13.900077819824219,431100
2000-06-09,29.625,30.375,29.625,30.0625,14.13516616821289,644300
2000-06-12,30.125,30.75,30.0625,30.5,14.3408784866333,522900
2000-06-13,30.6875,31.0625,30.5,30.75,14.458431243896484,660500
2000-06-14,30.625,30.75,29.875,29.875,14.047011375427246,901900
2000-06-15,30.125,30.6875,29.875,30.5,14.3408784866333,1040600
2000-06-16,30.5625,31.25,30.0,30.0,14.10578727722168,1772500
2000-06-19,30.0,30.375,29.375,29.375,13.811910629272461,922700
2000-06-20,29.375,30.1875,29.375,29.5,13.870695114135742,936100
2000-06-21,29.625,30.4375,29.5625,29.9375,14.076395034790039,913200
2000-06-22,30.0,30.0,28.75,29.3125,13.782526969909668,907500
2000-06-23,29.4375,29.6875,28.625,28.875,13.57681941986084,888400
2000-06-26,29.0,29.53125,28.9375,29.4375,13.841300964355469,769100
2000-06-27,29.375,29.4375,28.0,28.0,13.165404319763184,1100100
2000-06-28,28.125,28.875,27.5,28.53125,13.415186882019043,1645600
2000-06-29,28.5,29.0,27.75,27.75,13.047849655151367,572100
2000-06-30,27.875,28.9375,26.6875,27.1875,12.783366203308105,1400200
2000-07-03,27.1875,28.4375,27.1875,27.9375,13.136015892028809,165300
2000-07-05,28.0625,28.875,27.75,27.75,13.047849655151367,749200
2000-07-06,27.6875,28.3125,27.6875,27.9375,13.136015892028809,660800
2000-07-07,27.9375,28.375,27.875,27.875,13.106629371643066,1258400
2000-07-10,28.0,29.1875,28.0,28.9375,13.606200218200684,665700
2000-07-11,28.875,28.9375,28.5,28.875,13.57681941986084,605500
2000-07-12,29.4375,29.5,28.875,29.1875,13.723752975463867,678700
2000-07-13,29.4375,29.5,29.0,29.4375,13.841300964355469,510400
2000-07-14,30.0,30.1875,29.125,29.125,13.694367408752441,488000
2000-07-17,29.25,30.25,29.125,30.0,14.10578727722168,976400
2000-07-18,30.0625,30.5625,29.9375,30.3125,14.252717971801758,772000
2000-07-19,30.4375,30.8125,30.3125,30.5625,14.370268821716309,460700
2000-07-20,30.75,31.0625,30.5,30.6875,14.429040908813477,576900
2000-07-21,30.875,31.0625,30.4375,30.4375,14.311491966247559,915300
2000-07-24,30.375,30.625,29.9375,30.1875,14.19394588470459,497000
2000-07-25,30.3125,30.75,30.25,30.3125,14.252717971801758,303000
2000-07-26,30.1875,30.375,29.75,29.9375,14.076395034790039,611600
2000-07-27,29.9375,30.8125,29.9375,30.3125,14.252717971801758,438700
2000-07-28,30.3125,30.625,30.125,30.3125,14.252717971801758,437900
2000-07-31,28.0,28.75,26.9375,27.125,12.753978729248047,3784200
2000-08-01,27.375,30.0625,27.25,30.0,14.10578727722168,3301500
2000-08-02,30.0,30.5625,29.75,30.5,14.3408784866333,2287300
2000-08-03,30.75,31.75,30.25,30.640625,14.407001495361328,1709500
2000-08-04,30.5,30.75,29.75,30.6875,14.429040908813477,1967800
2000-08-07,30.5625,31.3125,30.4375,31.265625,14.700874328613281,792100
2000-08-08,31.1875,31.25,30.5625,31.1875,14.66413688659668,698000
2000-08-09,30.9375,31.0,30.3125,30.484375,14.333539962768555,574700
2000-08-10,30.4375,30.875,30.375,30.828125,14.639225959777832,2401200
2000-08-11,30.9375,31.1875,30.8125,31.140625,14.787627220153809,427600
2000-08-14,31.125,31.125,30.5625,31.0,14.720847129821777,790800
