Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,68.625,69.1875,63.8125,65.1875,43.838951110839844,12030800
2000-01-04,64.0,64.3125,61.25,61.75,41.5272102355957,8774500
2000-01-05,61.75,63.0,61.0,63.0,42.36784362792969,6931400
2000-01-06,61.625,62.0,60.0,60.0,40.35032653808594,6603400
2000-01-07,61.75,63.5,60.75,63.5,42.7040901184082,6201600
2000-01-10,62.0,63.5625,62.0,63.1875,42.493934631347656,5453000
2000-01-11,63.4375,63.625,61.25,61.5625,41.40110778808594,4371500
2000-01-12,61.5625,62.0625,60.6875,61.0625,41.06486892700195,4599400
2000-01-13,62.125,62.5,61.5,62.125,41.77940368652344,4538900
2000-01-14,62.375,62.4375,61.1875,61.9375,41.6533203125,4578000
2000-01-18,61.25,61.25,60.125,60.5,40.68656921386719,5322000
2000-01-19,60.125,62.4375,60.125,61.875,41.61126708984375,5176400
2000-01-20,61.5625,61.75,59.875,60.8125,40.89673614501953,7213400
2000-01-21,61.5,61.5,59.4375,60.0,40.35032653808594,6682900
2000-01-24,60.9375,60.9375,56.6875,58.0,39.00531768798828,7339600
2000-01-25,57.0,57.125,54.875,56.125,37.74435806274414,10252400
2000-01-26,55.9375,57.6875,55.0625,57.375,38.584999084472656,8468400
2000-01-27,57.875,59.5,56.1875,58.25,39.17344665527344,6915900
2000-01-28,57.0,57.4375,55.5,55.625,37.408103942871094,7425100
2000-01-31,56.5,56.8125,55.0625,56.625,38.08061981201172,5958600
2000-02-01,56.9375,62.0,56.8125,62.0,41.6953239440918,10950500
2000-02-02,61.0,61.5,59.625,60.75,40.85470962524414,5862100
2000-02-03,60.5,60.625,59.0,60.5,40.68656921386719,4008800
2000-02-04,61.0,61.5,60.3125,61.125,41.10689163208008,4063900
2000-02-07,61.0,61.0,59.0,59.0,39.677833557128906,3796600
2000-02-08,59.75,61.4375,59.5625,61.0,41.0228271484375,4501700
2000-02-09,61.3125,61.3125,58.75,58.75,39.509681701660156,5289700
2000-02-10,59.0,59.9375,58.375,59.5625,40.05610656738281,3644900
2000-02-11,59.5,60.5,59.1875,60.0625,40.392356872558594,4647100
2000-02-14,59.5,60.5,59.4375,60.3125,40.56048583984375,3173900
2000-02-15,60.0625,60.1875,59.0625,59.75,40.18217849731445,3531100
2000-02-16,58.75,59.375,55.75,57.25,38.50093460083008,6829800
2000-02-17,57.25,57.4375,53.5625,54.5,36.65153503417969,10785700
2000-02-18,54.5625,55.8125,52.8125,53.75,36.14716720581055,10402700
2000-02-22,54.125,55.5625,53.125,53.625,36.06310272216797,8019200
2000-02-23,54.1875,55.0,52.875,54.8125,36.861698150634766,6533700
2000-02-24,54.9375,55.1875,52.625,53.0625,35.68482208251953,7763600
2000-02-25,53.5,54.25,52.75,53.0,35.64277648925781,6155600
2000-02-28,53.75,56.875,52.9375,56.8125,38.206722259521484,8120100
2000-02-29,57.4375,58.4375,56.8125,57.5,38.669063568115234,7119900
2000-03-01,57.8125,58.3125,54.3125,55.625,37.408103942871094,6504000
2000-03-02,55.5625,56.25,54.1875,55.125,37.07184982299805,5352000
2000-03-03,55.5,55.8125,54.375,54.5,36.65153503417969,5832800
2000-03-06,54.375,54.6875,53.125,53.875,36.23122024536133,4821800
2000-03-07,55.0,55.0,51.0,52.375,35.24862289428711,8491900
2000-03-08,52.3125,53.75,51.6875,52.5,35.3327751159668,6631400
2000-03-09,53.3125,55.5,51.75,55.3125,37.22557067871094,5736400
2000-03-10,55.625,55.8125,53.375,53.5,36.00575637817383,4456000
2000-03-13,52.625,53.1875,51.8125,53.0,35.66926193237305,4412500
2000-03-14,52.75,53.3125,51.875,52.3125,35.206581115722656,5094600
2000-03-15,52.625,57.25,51.875,57.0,38.36129379272461,8097100
2000-03-16,59.0,61.875,58.625,61.5,41.389808654785156,12165000
2000-03-17,61.5,64.5625,61.5,63.1875,42.525516510009766,13587500
2000-03-20,63.4375,64.125,61.9375,63.625,42.81993865966797,5350300
2000-03-21,63.625,64.6875,61.8125,63.5,42.73582458496094,5552300
2000-03-22,62.375,63.9375,61.125,63.0625,42.44137954711914,4746500
2000-03-23,63.0625,64.3125,62.1875,64.125,43.15644073486328,5540300
2000-03-24,64.0,65.3125,63.5,64.375,43.3246955871582,5903600
2000-03-27,64.375,64.625,63.0,64.375,43.3246955871582,3828000
2000-03-28,63.0625,65.75,63.0,64.0,43.072322845458984,4848400
2000-03-29,64.875,68.5625,64.875,68.5,46.100830078125,6944300
2000-03-30,68.0,69.5625,65.9375,67.0,45.09132766723633,7934300
2000-03-31,67.0,67.3125,64.25,64.5,43.40882873535156,5169700
2000-04-03,65.5,68.0625,65.4375,68.0,45.76433181762695,5898500
2000-04-04,67.75,68.625,63.4375,64.625,43.492950439453125,8188500
2000-04-05,63.5,64.625,63.0,64.0,43.072322845458984,5348300
2000-04-06,63.9375,67.0,63.25,65.9375,44.37628936767578,4234800
2000-04-07,66.125,67.3125,64.125,64.125,43.15644073486328,3425100
2000-04-10,65.125,67.25,64.25,66.6875,44.88103103637695,3992300
2000-04-11,65.6875,67.375,65.625,67.375,45.34371566772461,3714600
2000-04-12,68.1875,70.0,66.0,66.0,44.418338775634766,7081600
2000-04-13,66.3125,66.3125,60.0,62.5,42.06282424926758,7953100
2000-04-14,60.0,60.25,56.9375,60.25,40.548561096191406,7695600
2000-04-17,56.375,58.1875,55.3125,57.25,38.529541015625,8667000
2000-04-18,57.0,59.3125,56.0625,58.75,39.539031982421875,7233700
2000-04-19,58.6875,60.0,57.625,58.75,39.539031982421875,5078400
2000-04-20,58.125,59.125,57.25,58.625,39.45491027832031,4111100
2000-04-24,58.0,61.75,57.875,59.5625,40.08585739135742,4850200
2000-04-25,60.25,60.3125,58.6875,59.0,39.70729446411133,5227700
2000-04-26,59.5,60.875,59.4375,60.5,40.716796875,4469400
2000-04-27,60.0,60.0,58.25,58.8125,39.58110809326172,4940000
2000-04-28,58.25,58.875,55.5,56.5,38.024784088134766,6475300
2000-05-01,56.5,57.875,56.125,56.125,37.77239227294922,4360000
2000-05-02,57.25,57.9375,56.0625,56.8125,38.235107421875,3961700
2000-05-03,55.5,55.5625,52.5625,54.0,36.342262268066406,6666000
2000-05-04,53.75,53.8125,51.8125,52.5,35.3327751159668,6863800
2000-05-05,51.8125,53.5,51.1875,53.3125,35.87957000732422,6345700
2000-05-08,53.125,54.125,52.0,53.5625,36.0478401184082,5133800
2000-05-09,53.5625,54.625,51.75,52.5,35.3327751159668,4821700
2000-05-10,52.5,54.25,51.6875,54.0,36.342262268066406,6547300
2000-05-11,54.5,55.25,53.0625,53.875,36.258148193359375,4413300
2000-05-12,53.75,55.25,53.625,54.0,36.342262268066406,3683400
2000-05-15,53.5,56.875,53.5,56.5,38.024784088134766,5611300
2000-05-16,56.5,56.5,52.0,53.4375,35.96371078491211,13052500
2000-05-17,52.75,53.4375,51.5,52.25,35.164520263671875,7027500
2000-05-18,51.875,53.4375,51.3125,51.5,34.65974426269531,6951400
2000-05-19,51.1875,52.25,51.0625,51.5625,34.70182800292969,5682600
2000-05-22,51.6875,52.0,50.0,50.375,33.90262222290039,5313500
2000-05-23,50.625,51.125,48.1875,49.75,33.48199462890625,6293100
2000-05-24,48.0,48.0,44.125,46.75,31.46299171447754,17769300
2000-05-25,48.0,49.8125,46.3125,46.5,31.294734954833984,8621100
2000-05-26,48.5,48.75,46.25,46.875,31.547117233276367,4711400
2000-05-30,47.5,47.8125,46.625,47.25,31.79947853088379,4767600
2000-05-31,46.75,49.125,46.625,49.0,32.977230072021484,6583700
2000-06-01,49.0,50.0625,48.5,49.875,33.56612777709961,6049000
2000-06-02,52.75,54.0,52.0,53.625,36.089900970458984,8388800
2000-06-05,53.5,53.625,52.25,52.375,35.24862289428711,3858000
2000-06-06,52.0625,52.0625,50.0625,50.375,33.90262222290039,6753000
2000-06-07,51.25,51.8125,49.875,50.5625,34.02880859375,4581800
2000-06-08,51.4375,51.5,49.5,49.875,33.56612777709961,5036400
2000-06-09,50.375,51.25,47.625,48.1875,32.4304313659668,5466100
2000-06-12,47.5625,47.5625,45.0,46.0,30.95823860168457,12584100
2000-06-13,46.125,49.6875,45.9375,49.375,33.25855255126953,9177000
2000-06-14,49.75,51.0,49.0625,51.0,34.3531379699707,8827700
2000-06-15,50.9375,51.25,50.25,50.875,34.2689323425293,5048400
2000-06-16,50.875,51.0,49.5625,49.8125,33.55323028564453,7158700
2000-06-19,49.375,50.0,48.75,50.0,33.67951965332031,5058600
2000-06-20,49.125,49.75,48.375,48.875,32.92174530029297,5080900
2000-06-21,48.875,48.875,47.6875,48.5625,32.711246490478516,3773900
2000-06-22,47.625,48.1875,46.9375,47.875,32.248165130615234,5537600
2000-06-23,48.0625,48.125,47.0625,48.0,32.33235168457031,3631600
2000-06-26,47.625,48.375,47.0625,47.125,31.74296760559082,3663400
2000-06-27,47.625,50.125,47.5,49.5625,33.38483428955078,6641200
2000-06-28,49.8125,49.9375,48.125,48.125,32.41658020019531,5233400
