Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,20.875,21.0,20.375,20.71875,16.261369705200195,283400
2000-01-04,20.71875,20.71875,19.65625,19.75,15.501043319702148,249200
2000-01-05,19.84375,19.90625,19.0,19.53125,15.329361915588379,190400
2000-01-06,19.65625,20.25,19.5625,19.78125,15.525561332702637,401400
2000-01-07,19.96875,20.03125,19.625,20.03125,15.72178840637207,453200
2000-01-10,19.90625,21.46875,19.90625,20.84375,16.3594913482666,411400
2000-01-11,20.9375,20.96875,20.15625,20.1875,15.84442138671875,178800
2000-01-12,20.0625,20.4375,19.90625,20.21875,15.868943214416504,204200
2000-01-13,20.09375,20.84375,20.09375,20.78125,16.31043243408203,396400
2000-01-14,20.875,21.21875,20.53125,20.78125,16.31043243408203,569200
2000-01-18,20.75,21.625,20.625,21.5625,16.923608779907227,745600
2000-01-19,21.5,22.25,21.0,21.875,17.281084060668945,662400
2000-01-20,21.875,23.28125,21.875,22.75,17.97232437133789,998400
2000-01-21,23.0625,24.5,22.875,23.5625,18.61419105529785,1146800
2000-01-24,23.75,24.0625,23.28125,23.65625,18.688247680664062,798200
2000-01-25,23.78125,24.1875,23.46875,23.78125,18.786998748779297,786200
2000-01-26,23.75,24.0,23.65625,23.84375,18.83637237548828,471800
2000-01-27,24.8125,25.21875,24.46875,24.59375,19.42887306213379,901200
2000-01-28,24.6875,25.46875,24.65625,24.90625,19.675743103027344,1041400
2000-01-31,24.84375,25.28125,24.8125,25.03125,19.774486541748047,717600
2000-02-01,24.90625,25.96875,24.875,25.71875,20.317615509033203,762400
2000-02-02,25.625,26.0,25.125,25.3125,19.996681213378906,555800
2000-02-03,25.40625,25.78125,25.375,25.46875,20.1201114654541,551000
2000-02-04,25.59375,26.5,25.3125,26.34375,20.811359405517578,667000
2000-02-07,26.625,26.8125,26.25,26.65625,21.058225631713867,583400
2000-02-08,26.78125,27.875,26.75,27.53125,21.749475479125977,658200
2000-02-09,27.53125,27.71875,27.0625,27.25,21.527286529541016,718600
2000-02-10,27.3125,27.5,26.6875,27.5,21.72478675842285,422400
2000-02-11,28.4375,29.0,27.75,28.25,22.31728172302246,1039400
2000-02-14,28.46875,30.15625,28.40625,29.875,23.60102081298828,1401200
2000-02-15,30.03125,33.4375,29.6875,32.65625,25.79817771911621,1517400
2000-02-16,32.53125,34.46875,31.8125,33.53125,26.489421844482422,1090600
2000-02-17,33.53125,42.25,33.53125,38.0625,30.06908416748047,2996200
2000-02-18,38.21875,38.21875,33.0,34.0,26.85973358154297,2592800
2000-02-22,34.0,35.8125,33.8125,35.0,27.64972496032715,1860200
2000-02-23,35.125,35.1875,33.84375,34.34375,27.13129234313965,509200
2000-02-24,34.53125,34.9375,32.25,32.59375,25.748807907104492,922600
2000-02-25,32.5625,32.5625,31.0,31.5,24.884748458862305,1125400
2000-02-28,31.25,31.46875,28.40625,30.1875,23.84789276123047,1547200
2000-02-29,30.1875,33.5,29.5,32.3125,25.52662467956543,2007400
2000-03-01,32.25,36.3125,32.25,34.0,26.85973358154297,1281200
2000-03-02,34.9375,37.15625,34.0625,36.28125,28.661893844604492,1045600
2000-03-03,37.375,39.0,36.875,38.5625,30.464075088500977,1334200
2000-03-06,39.375,41.0,38.1875,39.625,31.303449630737305,1077600
2000-03-07,40.5,41.0,38.3125,38.9375,30.76032257080078,1295000
2000-03-08,39.25,39.375,34.59375,35.65625,28.16815948486328,1188000
2000-03-09,36.5,36.59375,33.5,35.5625,28.094099044799805,1240600
2000-03-10,36.0,38.625,36.0,36.28125,28.661893844604492,778800
2000-03-13,36.3125,37.0,34.28125,34.71875,27.427528381347656,723000
2000-03-14,35.0625,35.5,31.34375,32.1875,25.42787742614746,1223400
2000-03-15,34.4375,34.4375,31.15625,32.3125,25.52662467956543,1664200
2000-03-16,32.4375,33.625,31.75,33.4375,26.415374755859375,764800
2000-03-17,32.25,35.46875,32.25,34.90625,27.575672149658203,1492200
2000-03-20,34.84375,36.375,34.84375,35.25,27.847225189208984,1356000
2000-03-21,35.125,35.15625,32.8125,34.0625,26.909114837646484,598400
2000-03-22,34.1875,35.0625,33.90625,34.375,27.155981063842773,463000
2000-03-23,34.375,34.78125,33.0,33.75,26.6622314453125,442600
2000-03-24,34.25,34.625,32.5625,33.0625,26.119104385375977,585600
2000-03-27,32.9375,34.3125,32.9375,34.0,26.85973358154297,696800
2000-03-28,34.125,34.125,33.0,33.09375,26.1438045501709,342200
2000-03-29,32.96875,33.75,32.78125,33.34375,26.34130096435547,528800
2000-03-30,33.375,33.75,31.53125,32.125,25.37850570678711,897600
2000-03-31,32.5,33.75,31.5,33.25,26.26723861694336,1006600
2000-04-03,33.1875,33.1875,31.25,31.875,25.180999755859375,512600
2000-04-04,32.25,32.3125,28.6875,30.5,24.094757080078125,939400
2000-04-05,30.46875,30.46875,28.75,29.53125,23.329458236694336,1013400
2000-04-06,30.71875,31.125,29.3125,29.8125,23.5516414642334,691000
2000-04-07,30.3125,31.90625,30.25,31.625,24.983505249023438,505200
2000-04-10,31.28125,32.25,30.375,30.53125,24.11944007873535,445200
2000-04-11,30.65625,32.625,30.03125,31.40625,24.810691833496094,993600
2000-04-12,31.40625,31.96875,29.75,30.0,23.69976234436035,516000
2000-04-13,30.25,31.875,30.1875,30.25,23.897262573242188,379600
2000-04-14,30.25,30.28125,27.625,27.875,22.021034240722656,469000
2000-04-17,27.75,27.96875,25.25,27.46875,21.700098037719727,772400
2000-04-18,27.375,28.0,27.125,27.40625,21.76163101196289,727200
2000-04-19,27.6875,29.0,27.21875,27.46875,21.811262130737305,566200
2000-04-20,27.34375,27.34375,25.75,26.5,21.042037963867188,952800
2000-04-24,26.5,26.5,24.8125,25.0,19.850980758666992,950800
2000-04-25,25.375,26.5,25.21875,26.3125,20.893159866333008,1533600
2000-04-26,26.21875,27.6875,25.84375,27.15625,21.563127517700195,1027800
2000-04-27,26.34375,27.4375,26.34375,27.0625,21.488689422607422,907400
2000-04-28,27.375,27.96875,26.75,27.75,22.034582138061523,559200
2000-05-01,27.0,27.9375,26.5,27.15625,21.563127517700195,466200
2000-05-02,27.28125,27.90625,26.9375,27.1875,21.587934494018555,871400
2000-05-03,26.9375,27.21875,25.90625,26.4375,20.992406845092773,707000
2000-05-04,26.3125,27.0,26.21875,26.59375,21.116472244262695,715400
2000-05-05,26.59375,28.0625,26.53125,28.0625,22.2827205657959,1018200
2000-05-08,28.0,28.0,26.625,27.1875,21.587934494018555,568200
2000-05-09,26.5,26.75,25.125,26.625,21.141292572021484,881800
