Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,8.5,8.5,8.0625,8.125,7.172834873199463,442500
2000-01-04,8.09375,8.1875,7.703125,8.0625,7.1176629066467285,2393500
2000-01-05,8.09375,8.125,8.0,8.0625,7.1176629066467285,319600
2000-01-06,8.0625,8.125,8.0,8.125,7.172834873199463,1003300
2000-01-07,8.0625,8.4375,8.0625,8.34375,7.365950584411621,192200
2000-01-10,8.5,8.5625,8.125,8.5,7.5038886070251465,1484800
2000-01-11,8.375,8.5625,8.25,8.25,7.283188343048096,216500
2000-01-12,8.375,8.5,8.25,8.484375,7.490100383758545,57000
2000-01-13,8.5,8.6875,8.375,8.5625,7.5590691566467285,200400
2000-01-14,8.5,8.625,8.125,8.1875,7.228012561798096,274800
2000-01-18,8.34375,8.5625,8.125,8.125,7.172834873199463,206900
2000-01-19,8.125,8.5,8.125,8.4375,7.44871711730957,174800
2000-01-20,8.375,8.625,8.3125,8.5625,7.5590691566467285,3940800
2000-01-21,8.65625,8.75,8.5,8.625,7.6142425537109375,311800
2000-01-24,8.625,8.6875,8.3125,8.375,7.39354133605957,386600
2000-01-25,8.5,8.5,8.3125,8.46875,7.476301193237305,232200
2000-01-26,8.5,8.75,8.375,8.625,7.6142425537109375,168200
2000-01-27,8.71875,9.125,8.6875,8.875,7.834943771362305,256500
2000-01-28,8.8125,8.9375,8.5,8.5625,7.5590691566467285,239700
2000-01-31,8.8125,8.875,8.5625,8.59375,7.5866546630859375,170600
2000-02-01,8.6875,8.75,8.5,8.6875,7.669419765472412,141900
2000-02-02,8.875,9.0625,8.5,9.03125,7.972879409790039,223100
2000-02-03,9.03125,9.125,8.625,8.75,7.724592208862305,125100
2000-02-04,8.9375,9.0625,8.5,8.65625,7.641828536987305,119300
2000-02-07,8.84375,9.125,8.8125,9.0625,8.000475883483887,140000
2000-02-08,8.9375,9.0625,8.75,9.03125,7.972879409790039,179100
2000-02-09,9.0,9.4375,8.875,8.875,7.834943771362305,356200
2000-02-10,8.875,8.9375,8.875,8.875,7.834943771362305,152400
2000-02-11,9.0,9.0,8.4375,8.4375,7.44871711730957,1448800
2000-02-14,8.5,8.5,7.5625,7.875,6.95213508605957,360700
2000-02-15,7.9375,8.625,7.875,8.375,7.39354133605957,308800
2000-02-16,8.25,8.5,8.25,8.46875,7.476301193237305,939400
2000-02-17,8.375,8.4375,8.125,8.125,7.172834873199463,358600
2000-02-18,8.125,8.4375,8.125,8.1875,7.228012561798096,329800
2000-02-22,8.0625,8.25,7.9375,8.125,7.172834873199463,398900
2000-02-23,8.0,8.0,7.5,7.5625,6.676255702972412,280000
2000-02-24,7.59375,7.625,7.5,7.59375,6.7038445472717285,222800
2000-02-25,7.59375,7.75,7.5,7.5625,6.676255702972412,278000
2000-02-28,7.5625,7.59375,7.40625,7.453125,6.5796990394592285,188800
2000-02-29,7.4375,7.5,7.28125,7.34375,6.483142852783203,353800
2000-03-01,7.34375,7.5,7.34375,7.46875,6.593493461608887,304300
2000-03-02,7.46875,9.0,7.46875,7.6875,6.786609172821045,1263800
2000-03-03,7.75,7.75,7.5,7.6875,6.786609172821045,349800
2000-03-06,7.6875,7.8125,7.5,7.65625,6.75901985168457,484500
2000-03-07,7.6875,7.75,7.5625,7.6875,6.786609172821045,210000
2000-03-08,7.71875,7.71875,7.3125,7.625,6.73143196105957,294900
2000-03-09,7.6875,7.75,7.40625,7.5625,6.676255702972412,201600
2000-03-10,7.546875,7.59375,7.375,7.40625,6.538315773010254,176300
2000-03-13,7.4375,7.5625,7.25,7.28125,6.427966594696045,153500
2000-03-14,7.3125,7.34375,6.84375,6.953125,6.138294219970703,679300
2000-03-15,7.03125,7.09375,6.78125,6.90625,6.096912384033203,314700
2000-03-16,7.0,7.125,6.9375,7.0625,6.23484992980957,977300
2000-03-17,6.875,7.4375,6.875,7.34375,6.483142852783203,1553500
2000-03-20,7.4375,7.5625,7.25,7.34375,6.483142852783203,463200
2000-03-21,7.375,7.625,7.0,7.4375,6.5659050941467285,941200
2000-03-22,7.59375,7.625,7.375,7.4375,6.5659050941467285,114200
2000-03-23,7.46875,7.5625,7.25,7.40625,6.538315773010254,158800
2000-03-24,7.375,7.4375,7.25,7.3125,6.4555535316467285,263300
2000-03-27,7.3125,7.4375,7.1875,7.375,6.510730266571045,167600
