Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,5.28125,5.28125,5.0625,5.109375,4.469048023223877,770400
2000-01-04,5.0625,5.125,5.046875,5.0859375,4.448546886444092,620800
2000-01-05,5.078125,5.109375,4.9921875,5.0859375,4.448546886444092,845600
2000-01-06,5.0859375,5.125,5.0625,5.09375,4.455380916595459,265600
2000-01-07,5.109375,5.1484375,5.09375,5.109375,4.469048023223877,1012800
2000-01-10,5.140625,5.171875,5.0625,5.171875,4.523715496063232,973600
2000-01-11,5.28125,5.375,5.171875,5.203125,4.551050186157227,300800
2000-01-12,5.21875,5.21875,5.0625,5.109375,4.469048023223877,419200
2000-01-13,5.109375,5.4375,5.109375,5.421875,4.742384433746338,1065600
2000-01-14,5.375,5.5,5.296875,5.3046875,4.639883518218994,999200
2000-01-18,5.375,5.609375,5.375,5.609375,4.90638542175293,903200
2000-01-19,5.625,5.7421875,5.625,5.734375,5.015720844268799,996800
2000-01-20,5.828125,6.046875,5.796875,6.046875,5.289057731628418,563200
2000-01-21,6.125,6.890625,6.125,6.8125,5.958730697631836,1504000
2000-01-24,6.8125,7.125,6.78125,6.859375,5.999731063842773,1003200
2000-01-25,6.875,6.875,6.171875,6.2421875,5.459893226623535,2020000
2000-01-26,6.2578125,6.2578125,5.828125,5.984375,5.23438835144043,1252000
2000-01-27,5.984375,5.984375,5.5,5.59375,4.892719268798828,848800
2000-01-28,5.59375,5.8046875,5.40625,5.5,4.810718059539795,2183200
2000-01-31,5.5,5.5,5.265625,5.375,4.701383590698242,964800
2000-02-01,5.34375,5.5625,5.3125,5.546875,4.851718425750732,1068800
2000-02-02,5.5390625,5.703125,5.3125,5.34375,4.6740498542785645,312000
2000-02-03,6.234375,6.5,6.0,6.3828125,5.582894325256348,2494400
2000-02-04,6.5,6.96875,6.484375,6.8203125,5.9655632972717285,2258400
2000-02-07,6.828125,7.46875,6.828125,6.9375,6.0680646896362305,1303200
2000-02-08,6.9375,7.09375,6.71875,7.0,6.122733116149902,1018400
2000-02-09,7.125,7.46875,7.125,7.3203125,6.402902603149414,1652000
2000-02-10,7.3203125,7.625,7.3203125,7.625,6.66940450668335,823200
2000-02-11,7.625,7.625,7.09375,7.1875,6.286735534667969,446400
2000-02-14,7.1875,7.25,7.1875,7.2109375,6.307234287261963,395200
2000-02-15,7.234375,7.234375,7.0703125,7.078125,6.191067695617676,536000
2000-02-16,7.109375,7.140625,7.0,7.0703125,6.184231758117676,235200
2000-02-17,7.140625,7.171875,7.0625,7.109375,6.2184014320373535,860000
2000-02-18,7.109375,7.1953125,7.09375,7.15625,6.259401321411133,677600
2000-02-22,7.234375,7.4453125,7.140625,7.421875,6.491736888885498,747200
2000-02-23,7.390625,7.5,7.265625,7.4609375,6.525903701782227,1535200
2000-02-24,7.546875,8.75,7.546875,8.578125,7.50308084487915,1708800
2000-02-25,8.625,9.125,8.296875,8.515625,7.4484148025512695,2537600
2000-02-28,8.96875,9.2734375,8.84375,9.25,8.090752601623535,1039200
2000-02-29,9.59375,9.59375,9.2265625,9.328125,8.159088134765625,2193600
2000-03-01,9.625,9.90625,9.5,9.8828125,8.644261360168457,1716000
2000-03-02,10.015625,10.046875,9.6640625,9.8125,8.582757949829102,1100000
2000-03-03,9.71875,9.84375,9.6875,9.703125,8.487092971801758,696800
2000-03-06,9.703125,9.8671875,9.625,9.8671875,8.630594253540039,707200
2000-03-07,9.875,9.9375,9.5625,9.6484375,8.439258575439453,768000
2000-03-08,9.515625,9.640625,9.1328125,9.640625,8.432424545288086,1144000
2000-03-09,9.75,9.921875,9.75,9.875,8.637425422668457,623200
2000-03-10,9.875,9.875,9.375,9.40625,8.227420806884766,586400
2000-03-13,9.28125,9.359375,9.0234375,9.09375,7.954085826873779,644000
2000-03-14,8.859375,8.859375,7.25,7.5,6.560070037841797,2542400
2000-03-15,7.5,8.4375,7.46875,8.3125,7.2707438468933105,1606400
2000-03-16,8.5,9.1875,8.5,9.1875,8.03608512878418,720000
2000-03-17,9.09375,9.15625,9.0,9.125,7.98142147064209,553600
2000-03-20,9.0625,9.1328125,9.0390625,9.09375,7.954085826873779,345600
2000-03-21,9.0625,9.234375,8.96875,9.234375,8.07708740234375,534400
2000-03-22,9.234375,9.921875,9.234375,9.90625,8.664758682250977,686400
2000-03-23,9.90625,10.171875,9.859375,9.875,8.637425422668457,1524000
2000-03-24,9.84375,9.84375,8.78125,8.8828125,7.769582748413086,1370400
2000-03-27,9.0546875,9.1640625,8.5,8.5,7.43474817276001,1789600
