Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,26.625,26.75,25.75,26.125,15.804275512695312,887000
2000-01-04,26.125,26.625,25.9375,25.9375,15.690847396850586,877700
2000-01-05,25.625,26.3125,25.5,26.25,15.879897117614746,970500
2000-01-06,26.25,26.5625,25.875,26.375,15.955514907836914,1218100
2000-01-07,26.625,28.375,26.5,27.9375,16.900739669799805,1549500
2000-01-10,28.3125,28.5,27.5625,27.625,16.711700439453125,794200
2000-01-11,27.5625,27.875,27.1875,27.5625,16.673891067504883,790700
2000-01-12,27.5625,27.625,26.3125,26.5,16.03113555908203,1326800
2000-01-13,26.5625,26.6875,26.0,26.1875,15.84208869934082,1042500
2000-01-14,25.9375,26.0625,25.1875,25.375,15.350567817687988,1100800
2000-01-18,23.0,23.0,18.8125,19.0,11.494022369384766,8621000
2000-01-19,19.0,19.75,18.875,19.6875,11.90992259979248,8641600
2000-01-20,19.9375,20.1875,18.4375,18.75,11.342777252197266,6643600
2000-01-21,19.0,19.625,18.625,19.625,11.872114181518555,5781400
2000-01-24,19.9375,20.125,18.1875,18.3125,11.07811450958252,4579600
2000-01-25,19.5,20.25,18.75,20.0,12.098966598510742,3517200
2000-01-26,20.5,21.9375,20.3125,21.5,13.006383895874023,3084700
2000-01-27,22.0,23.375,21.9375,23.0625,13.951621055603027,3148500
2000-01-28,23.125,24.5625,22.75,24.0625,14.556572914123535,1733500
2000-01-31,24.125,24.125,22.1875,22.8125,13.800384521484375,2113800
2000-02-01,22.75,22.75,21.4375,21.9375,13.271058082580566,1889700
2000-02-02,21.9375,22.5625,21.5,22.5,13.611336708068848,862600
2000-02-03,22.375,22.4375,21.4375,22.1875,13.422287940979004,1382600
2000-02-04,22.1875,22.1875,21.625,22.0,13.308863639831543,1460700
2000-02-07,22.75,22.75,21.25,21.625,13.08200454711914,1188000
2000-02-08,21.75,22.3125,21.25,21.5625,13.044193267822266,1830900
2000-02-09,21.5,22.0,21.125,21.25,12.855146408081055,2175900
2000-02-10,21.3125,21.5,20.9375,20.9375,12.666109085083008,994400
2000-02-11,20.9375,21.0,20.75,20.875,12.62829875946045,589100
2000-02-14,20.9375,21.0,20.3125,20.375,12.325826644897461,1008600
2000-02-15,20.5,20.75,20.25,20.25,12.250199317932129,1528400
2000-02-16,20.375,20.5,20.0,20.0,12.098966598510742,753800
2000-02-17,20.3125,20.4375,19.875,19.875,12.023348808288574,825100
2000-02-18,19.875,20.125,19.4375,19.6875,11.90992259979248,999700
2000-02-22,19.5,21.0625,19.125,20.9375,12.666109085083008,1033700
2000-02-23,20.125,20.3125,19.125,19.1875,11.60744571685791,1171400
2000-02-24,19.3125,19.625,18.875,19.375,11.72087574005127,1551800
