Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,20.75,20.8125,19.75,20.125,14.33798885345459,574100
2000-01-04,20.0,20.0625,18.875,19.375,13.803662300109863,646800
2000-01-05,19.4375,19.8125,19.375,19.4375,13.848188400268555,622800
2000-01-06,20.0625,20.25,19.5625,19.75,14.070818901062012,583600
2000-01-07,19.625,20.0625,19.125,19.5,13.892716407775879,949500
2000-01-10,19.5,20.0,19.0625,19.0625,13.58101749420166,1067900
2000-01-11,19.375,19.6875,19.25,19.3125,13.75912857055664,1181500
2000-01-12,19.375,19.75,19.25,19.3125,13.75912857055664,709000
2000-01-13,19.3125,19.375,19.0,19.125,13.625550270080566,813500
2000-01-14,19.3125,19.375,18.75,18.875,13.44743824005127,937800
2000-01-18,18.625,18.875,18.25,18.5625,13.224794387817383,691400
2000-01-19,18.5625,18.6875,18.3125,18.375,13.091207504272461,642000
2000-01-20,18.375,18.375,17.375,17.625,12.55687427520752,858700
2000-01-21,18.0,18.25,17.6875,17.875,12.734987258911133,1121300
2000-01-24,17.875,18.3125,17.65625,17.9375,12.779511451721191,651600
2000-01-25,17.875,18.4375,17.625,18.0,12.82404613494873,835000
2000-01-26,18.0,18.375,17.75,17.8125,12.690458297729492,526000
2000-01-27,17.8125,18.1875,17.6875,17.9375,12.779511451721191,501700
2000-01-28,17.875,17.9375,17.4375,17.4375,12.42328929901123,476100
2000-01-31,17.4375,18.125,17.375,17.625,12.55687427520752,668900
2000-02-01,17.5,18.5,17.5,18.4375,13.13573932647705,746000
2000-02-02,18.25,18.375,17.4375,17.5,12.46782398223877,1205500
2000-02-03,17.625,19.6875,17.125,19.625,13.981776237487793,2110800
2000-02-04,20.625,20.6875,20.125,20.125,14.33798885345459,1715100
2000-02-07,20.1875,20.1875,20.0,20.1875,14.382518768310547,577100
2000-02-08,20.0,20.0,19.125,19.375,13.803662300109863,710700
2000-02-09,19.375,19.4375,18.75,19.1875,13.670069694519043,763500
2000-02-10,19.1875,19.6875,19.125,19.375,13.803662300109863,450400
2000-02-11,19.375,19.4375,18.5625,18.6875,13.313846588134766,492800
2000-02-14,19.0,19.125,18.5625,18.9375,13.491963386535645,735400
2000-02-15,19.0,20.0,18.9375,20.0,14.24893856048584,1031700
2000-02-16,20.0,20.0,19.375,19.5625,13.937239646911621,464200
2000-02-17,19.625,20.375,19.5625,20.25,14.427047729492188,618800
2000-02-18,20.0625,20.1875,19.5625,19.8125,14.115355491638184,723800
2000-02-22,19.9375,20.0,19.6875,19.875,14.159883499145508,542000
2000-02-23,20.125,20.125,19.375,20.0,14.24893856048584,888100
2000-02-24,19.75,19.75,19.0,19.1875,13.762969970703125,620900
2000-02-25,19.375,19.75,18.9375,19.0625,13.673310279846191,931400
2000-02-28,19.0625,19.5625,19.0625,19.125,13.718148231506348,637300
2000-02-29,19.5,19.5,19.0,19.125,13.718148231506348,551900
2000-03-01,19.625,19.625,19.125,19.375,13.897469520568848,488300
2000-03-02,19.375,19.6875,18.8125,19.0625,13.673310279846191,629600
2000-03-03,18.9375,20.5,18.875,19.9375,14.30093765258789,610900
2000-03-06,19.6875,19.8125,18.9375,19.0625,13.673310279846191,496600
2000-03-07,19.3125,19.3125,18.5625,18.8125,13.49399185180664,703800
2000-03-08,18.8125,19.28125,18.3125,18.75,13.449161529541016,1095500
2000-03-09,18.5,19.125,18.375,18.875,13.538825988769531,422100
2000-03-10,19.125,19.375,18.875,18.9375,13.583653450012207,554900
2000-03-13,18.75,19.125,18.5,19.125,13.718148231506348,415200
2000-03-14,19.0,19.25,18.6875,18.8125,13.49399185180664,811900
