Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,19.5,19.625,19.125,19.125,10.576148986816406,21000
2000-01-04,19.125,19.25,18.625,18.875,10.437901496887207,9800
2000-01-05,18.875,18.875,18.625,18.75,10.36877727508545,19200
2000-01-06,18.75,19.125,18.5,19.125,10.576148986816406,25200
2000-01-07,19.125,19.25,19.125,19.25,10.64527416229248,4200
2000-01-10,19.25,19.375,19.0,19.0,10.507026672363281,21800
2000-01-11,19.0,19.125,18.875,19.0,10.507026672363281,34200
2000-01-12,19.0,19.125,18.875,19.125,10.576148986816406,15400
2000-01-13,19.125,19.375,19.125,19.125,10.576148986816406,9400
2000-01-14,19.125,19.25,19.125,19.25,10.64527416229248,6200
2000-01-18,19.25,19.25,19.125,19.25,10.64527416229248,13400
2000-01-19,19.25,19.5,19.125,19.5,10.783529281616211,15600
2000-01-20,19.5,19.5,19.125,19.25,10.64527416229248,11600
2000-01-21,19.25,19.25,19.0,19.125,10.576148986816406,12400
2000-01-24,19.125,19.125,18.625,18.625,10.299650192260742,10600
2000-01-25,18.625,18.75,18.375,18.375,10.161398887634277,8000
2000-01-26,18.375,18.625,18.375,18.625,10.299650192260742,10800
2000-01-27,18.625,18.625,18.375,18.375,10.161398887634277,9400
2000-01-28,18.375,18.5,18.0,18.125,10.023147583007812,15000
2000-01-31,18.125,18.125,17.0,17.5,9.677522659301758,101600
2000-02-01,17.5,17.625,17.25,17.5,9.677522659301758,27800
2000-02-02,17.5,17.625,17.375,17.5,9.677522659301758,10000
2000-02-03,17.5,17.625,17.375,17.5,9.677522659301758,11600
2000-02-04,17.5,17.875,17.375,17.75,9.815776824951172,7600
2000-02-07,17.75,18.125,17.75,18.125,10.023147583007812,9800
2000-02-08,18.125,18.125,17.5,18.125,10.023147583007812,23400
2000-02-09,18.125,18.5,18.0,18.375,10.161398887634277,12200
2000-02-10,18.25,18.25,17.375,17.875,9.88489818572998,15400
2000-02-11,17.875,17.875,17.25,17.375,9.608403205871582,20600
2000-02-14,17.375,17.375,16.875,17.25,9.622325897216797,18400
2000-02-15,17.25,17.875,17.25,17.875,9.97096061706543,17400
2000-02-16,17.875,18.125,17.875,18.0,10.040687561035156,5000
2000-02-17,18.0,18.375,17.625,18.25,10.180139541625977,13400
2000-02-18,18.125,18.125,17.25,17.25,9.622325897216797,15000
2000-02-22,17.25,17.375,16.75,16.875,9.413147926330566,15400
2000-02-23,16.875,17.25,16.625,17.125,9.55260181427002,11600
2000-02-24,17.125,17.25,17.0,17.125,9.55260181427002,2400
2000-02-25,17.0,17.0,16.875,17.0,9.482871055603027,4800
2000-02-28,17.0,17.125,16.625,17.125,9.55260181427002,13800
2000-02-29,17.125,17.125,16.875,17.125,9.55260181427002,10600
2000-03-01,17.125,17.375,17.0,17.0,9.482871055603027,19400
