Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,9.9375,10.0,9.6875,9.9375,3.4745914936065674,193500
2000-01-04,9.8125,9.875,9.4375,9.5,3.321619749069214,289000
2000-01-05,9.625,9.9375,9.625,9.6875,3.3871805667877197,258300
2000-01-06,9.8125,10.375,9.8125,10.375,3.6275596618652344,206200
2000-01-07,10.375,10.4375,10.125,10.1875,3.5620007514953613,257600
2000-01-10,10.25,10.3125,10.125,10.1875,3.5620007514953613,179900
2000-01-11,10.25,10.375,10.125,10.3125,3.6057066917419434,254100
2000-01-12,10.1875,10.25,10.0625,10.125,3.6335196495056152,278600
2000-01-13,10.125,10.1875,9.8125,9.9375,3.5662310123443604,229300
2000-01-14,10.0,10.0625,9.8125,9.9375,3.5662310123443604,2696300
2000-01-18,9.875,9.9375,9.5625,9.6875,3.4765164852142334,301500
2000-01-19,9.75,10.0,9.6875,9.9375,3.5662310123443604,366800
2000-01-20,9.9375,10.0625,9.9375,9.9375,3.5662310123443604,211100
2000-01-21,10.0,10.5,10.0,10.4375,3.7456650733947754,607200
2000-01-24,10.5,10.5,10.25,10.25,3.678377151489258,194700
2000-01-25,10.3125,10.375,10.25,10.25,3.678377151489258,135100
2000-01-26,10.25,10.5,10.0625,10.125,3.6335196495056152,217500
2000-01-27,10.0,10.1875,9.9375,9.9375,3.5662310123443604,166700
2000-01-28,9.9375,10.0625,9.875,9.875,3.5438032150268555,125500
2000-01-31,9.8125,9.875,9.625,9.625,3.454087018966675,213000
2000-02-01,9.625,9.9375,9.5625,9.9375,3.5662310123443604,245700
2000-02-02,9.875,10.0625,9.8125,10.0625,3.6110901832580566,158200
2000-02-03,9.9375,10.1875,9.9375,10.1875,3.6559481620788574,261300
2000-02-04,10.0625,10.375,10.0625,10.375,3.723235607147217,322500
2000-02-07,10.25,10.3125,10.125,10.125,3.6335196495056152,147600
2000-02-08,10.125,10.3125,10.0,10.0625,3.6110901832580566,165400
2000-02-09,10.0625,10.125,10.0,10.0625,3.6110901832580566,135800
2000-02-10,10.0625,10.1875,10.0,10.0625,3.6110901832580566,468400
2000-02-11,10.0625,10.1875,10.0,10.0,3.58866024017334,156400
2000-02-14,10.0,10.125,10.0,10.0625,3.6110901832580566,158200
2000-02-15,10.0,10.125,9.9375,10.0,3.58866024017334,284200
2000-02-16,10.0625,10.0625,9.8125,9.8125,3.521373987197876,180800
2000-02-17,9.8125,9.9375,9.8125,9.9375,3.5662310123443604,185500
2000-02-18,10.0,10.0,9.75,9.8125,3.521373987197876,183400
2000-02-22,9.75,9.8125,9.625,9.75,3.498943328857422,247200
2000-02-23,9.75,9.9375,9.75,9.9375,3.5662310123443604,210900
2000-02-24,9.875,9.9375,9.8125,9.8125,3.521373987197876,133300
2000-02-25,9.8125,9.9375,9.8125,9.875,3.5438032150268555,98500
2000-02-28,9.875,10.0625,9.875,10.0,3.58866024017334,210400
2000-02-29,9.875,10.0,9.875,10.0,3.58866024017334,228000
2000-03-01,10.0,10.0,9.75,9.75,3.498943328857422,141500
2000-03-02,9.6875,9.9375,9.6875,9.875,3.5438032150268555,218100
2000-03-03,9.9375,9.9375,9.875,9.875,3.5438032150268555,178800
2000-03-06,9.875,9.9375,9.625,9.875,3.5438032150268555,261300
2000-03-07,9.8125,9.875,9.5625,9.5625,3.431657552719116,178600
2000-03-08,9.5625,9.8125,9.5625,9.8125,3.521373987197876,155000
2000-03-09,9.75,9.875,9.625,9.875,3.5438032150268555,129400
2000-03-10,9.8125,9.875,9.75,9.8125,3.521373987197876,181700
2000-03-13,9.75,9.875,9.625,9.625,3.454087018966675,189700
2000-03-14,9.625,9.6875,9.5625,9.5625,3.431657552719116,178200
2000-03-15,9.5625,9.9375,9.5,9.875,3.5438032150268555,362300
2000-03-16,9.875,9.9375,9.75,9.8125,3.521373987197876,259900
2000-03-17,9.75,10.0,9.75,9.9375,3.5662310123443604,244800
2000-03-20,9.9375,9.9375,9.75,9.75,3.498943328857422,132000
2000-03-21,9.8125,9.875,9.75,9.875,3.5438032150268555,100800
2000-03-22,9.8125,9.875,9.75,9.875,3.5438032150268555,106900
2000-03-23,9.75,9.875,9.75,9.8125,3.521373987197876,225100
2000-03-24,9.8125,9.9375,9.75,9.75,3.498943328857422,213400
2000-03-27,9.75,10.0,9.75,9.875,3.5438032150268555,230500
2000-03-28,9.875,9.9375,9.8125,9.8125,3.521373987197876,172300
2000-03-29,9.9375,9.9375,9.8125,9.8125,3.521373987197876,223100
2000-03-30,9.875,10.0625,9.8125,9.9375,3.5662310123443604,197600
2000-03-31,10.0,10.0625,9.9375,10.0625,3.6110901832580566,148500
2000-04-03,10.0625,10.125,9.9375,9.9375,3.5662310123443604,176100
2000-04-04,10.0625,10.0625,9.875,10.0,3.58866024017334,233400
2000-04-05,10.0,10.1875,9.9375,10.125,3.6335196495056152,234400
2000-04-06,10.125,10.1875,10.0,10.1875,3.6559481620788574,233100
2000-04-07,10.1875,10.1875,10.0,10.0,3.58866024017334,403300
2000-04-10,10.125,10.25,10.0625,10.0625,3.6110901832580566,377400
2000-04-11,10.125,10.25,10.0625,10.1875,3.6559481620788574,276500
2000-04-12,10.0,10.0625,9.9375,10.0,3.6854307651519775,425600
2000-04-13,10.0,10.0625,9.9375,10.0,3.6854307651519775,204600
2000-04-14,9.9375,10.0,9.8125,9.9375,3.6623971462249756,6002600
2000-04-17,9.875,9.9375,9.75,9.875,3.6393635272979736,250700
2000-04-18,9.8125,9.9375,9.8125,9.875,3.6393635272979736,173000
2000-04-19,9.8125,9.875,9.75,9.875,3.6393635272979736,197500
2000-04-20,9.875,9.9375,9.8125,9.875,3.6393635272979736,194600
2000-04-24,9.875,10.0625,9.875,9.9375,3.6623971462249756,262200
2000-04-25,10.0625,10.25,9.9375,10.125,3.7314984798431396,284600
2000-04-26,10.0,10.125,10.0,10.0625,3.708465814590454,133500
