Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,69.6875,69.75,67.0,67.0625,41.08087158203125,1273200
2000-01-04,67.0,67.0,64.625,64.9375,39.77914047241211,1385800
2000-01-05,64.875,68.0,64.75,68.0,41.65516662597656,1401700
2000-01-06,65.875,68.125,65.0,68.0,41.65516662597656,1959100
2000-01-07,67.625,67.625,65.75,66.375,40.65973663330078,996000
2000-01-10,66.875,67.4375,66.4375,67.0625,41.08087158203125,1191700
2000-01-11,67.125,67.4375,65.25,65.25,39.97056579589844,1020000
2000-01-12,66.125,67.5,65.4375,67.375,41.27230453491211,1097700
2000-01-13,67.625,68.5,67.375,68.3125,41.84659957885742,1071200
2000-01-14,68.875,69.25,68.3125,69.0625,42.30602264404297,1160000
2000-01-18,69.0,69.0,67.375,68.6875,42.07632827758789,980500
2000-01-19,68.5,68.5625,67.4375,68.25,41.808311462402344,1087300
2000-01-20,68.125,69.125,68.125,68.875,42.1911506652832,1972000
2000-01-21,68.875,68.875,66.6875,67.25,41.19573211669922,1270100
2000-01-24,67.875,68.25,66.0,66.0,40.43001937866211,831400
2000-01-25,65.625,66.625,64.75,65.875,40.35343551635742,1263000
2000-01-26,65.25,65.625,64.5,65.125,39.894012451171875,933400
2000-01-27,65.3125,65.375,64.0,65.125,39.894012451171875,1128400
2000-01-28,65.125,65.875,64.0,64.9375,39.77914047241211,1324700
2000-01-31,63.0,64.0,59.0,60.0,36.75455856323242,5745800
2000-02-01,59.6875,61.5,58.3125,61.375,37.59685516357422,4761000
2000-02-02,59.75,59.9375,57.1875,58.25,35.68254852294922,4740600
2000-02-03,59.25,59.5,57.375,57.625,35.29969024658203,1951900
2000-02-04,58.1875,58.1875,56.0625,56.375,34.53396224975586,1745200
2000-02-07,56.625,56.8125,55.5,55.75,34.151100158691406,1480200
2000-02-08,56.25,59.375,55.75,59.375,36.37171173095703,2055100
2000-02-09,59.5,59.625,58.0,58.0,35.5294075012207,1209400
2000-02-10,58.0625,58.5,56.5,57.0625,34.955108642578125,995700
2000-02-11,56.8125,57.0,55.125,55.125,33.768245697021484,1013900
2000-02-14,55.3125,55.5,54.125,54.375,33.30882263183594,2052800
2000-02-15,54.4375,55.0,53.5625,54.9375,33.65338134765625,1182900
