Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,8.78125,8.78125,8.34375,8.59375,7.899573802947998,181400
2000-01-04,8.5,8.5,8.3125,8.46875,7.784674167633057,193400
2000-01-05,8.375,8.4375,8.25,8.4375,7.755946636199951,304800
2000-01-06,8.40625,8.40625,7.9375,8.09375,7.439964771270752,199000
2000-01-07,8.09375,8.09375,7.75,7.78125,7.15270471572876,231400
2000-01-10,7.9375,8.0,7.625,7.875,7.238880157470703,337000
2000-01-11,7.8125,7.8125,7.53125,7.65625,7.03780460357666,318000
2000-01-12,7.65625,7.65625,7.1875,7.25,6.664368152618408,219600
2000-01-13,7.3125,7.34375,7.25,7.3125,6.721819877624512,95600
2000-01-14,7.4375,7.4375,6.75,6.90625,6.348386764526367,755000
2000-01-18,6.84375,6.875,6.6875,6.875,6.319658279418945,431800
2000-01-19,6.875,7.09375,6.875,7.0,6.434561729431152,261800
2000-01-20,7.03125,7.28125,6.9375,7.0,6.434561729431152,525800
2000-01-21,6.90625,7.0,6.875,6.90625,6.348386764526367,767600
2000-01-24,6.9375,7.0,6.75,6.78125,6.2334818840026855,258200
2000-01-25,6.6875,6.6875,6.0625,6.21875,5.716418743133545,654000
2000-01-26,6.1875,6.1875,5.78125,5.875,5.400437831878662,521200
2000-01-27,5.875,5.96875,5.78125,5.78125,5.314260005950928,272400
2000-01-28,5.78125,5.8125,5.625,5.65625,5.1993584632873535,98400
2000-01-31,5.59375,5.6875,5.53125,5.5625,5.113180637359619,303400
2000-02-01,5.625,5.65625,5.4375,5.5625,5.113180637359619,290200
2000-02-02,5.65625,5.78125,5.625,5.71875,5.25680685043335,182600
2000-02-03,5.71875,5.8125,5.71875,5.75,5.285533428192139,196200
2000-02-04,5.78125,5.84375,5.75,5.78125,5.314260005950928,411400
2000-02-07,5.8125,6.0625,5.75,5.875,5.400437831878662,123000
2000-02-08,6.03125,6.03125,5.78125,5.8125,5.342984199523926,170800
2000-02-09,5.875,6.09375,5.75,5.9375,5.457886695861816,276200
2000-02-10,6.0,6.375,5.9375,6.3125,5.802595138549805,130400
2000-02-11,6.25,6.53125,6.09375,6.4375,5.926887512207031,138400
2000-02-14,6.4375,6.4375,6.0625,6.21875,5.725488662719727,194000
2000-02-15,6.0,6.03125,5.78125,5.78125,5.322691917419434,231400
2000-02-16,5.84375,5.875,5.5625,5.6875,5.236377716064453,376800
2000-02-17,5.75,6.0625,5.65625,5.75,5.293919086456299,296800
2000-02-18,5.75,5.78125,5.625,5.625,5.178834915161133,368000
2000-02-22,5.59375,5.625,5.5625,5.59375,5.150063514709473,129600
2000-02-23,5.65625,5.6875,5.40625,5.46875,5.03497838973999,168200
2000-02-24,5.4375,5.46875,5.25,5.25,4.83358097076416,247800
2000-02-25,5.21875,5.21875,4.5,4.75,4.373238563537598,1106800
2000-02-28,4.75,4.84375,4.59375,4.65625,4.286924362182617,655200
2000-02-29,4.71875,4.75,4.65625,4.75,4.373238563537598,607200
2000-03-01,4.8125,4.96875,4.8125,4.875,4.488322734832764,406200
2000-03-02,4.9375,4.9375,4.8125,4.875,4.488322734832764,307800
2000-03-03,4.84375,4.875,4.78125,4.8125,4.430780410766602,229800
2000-03-06,4.75,4.75,4.375,4.40625,4.0567522048950195,565000
2000-03-07,4.40625,4.4375,4.21875,4.4375,4.085522651672363,883400
2000-03-08,4.375,4.53125,4.34375,4.4375,4.085522651672363,538000
2000-03-09,4.4375,4.625,4.4375,4.625,4.258154392242432,1103200
2000-03-10,4.5,4.625,4.5,4.5625,4.200610637664795,397800
2000-03-13,4.5,4.8125,4.5,4.65625,4.286924362182617,237000
2000-03-14,4.84375,5.25,4.78125,4.96875,4.5746355056762695,501000
2000-03-15,5.1875,5.53125,5.15625,5.46875,5.03497838973999,450400
2000-03-16,5.46875,5.75,5.34375,5.75,5.293919086456299,196600
2000-03-17,5.625,5.75,5.46875,5.5,5.063747882843018,112800
2000-03-20,5.5,5.5,5.28125,5.34375,4.919891834259033,97800
2000-03-21,5.40625,5.40625,5.125,5.25,4.83358097076416,162200
2000-03-22,5.15625,6.0,5.03125,5.25,4.83358097076416,682600
2000-03-23,5.25,5.3125,5.09375,5.09375,4.689723491668701,500000
2000-03-24,5.125,5.3125,5.09375,5.15625,4.7472662925720215,367200
2000-03-27,5.15625,5.25,5.125,5.1875,4.776036739349365,110000
2000-03-28,5.1875,5.25,5.125,5.125,4.718493461608887,144000
2000-03-29,5.125,5.28125,5.125,5.15625,4.7472662925720215,92800
2000-03-30,5.21875,5.4375,5.15625,5.3125,4.891122341156006,150200
2000-03-31,5.375,5.84375,5.28125,5.3125,4.891122341156006,374400
2000-04-03,5.28125,5.6875,5.28125,5.625,5.178834915161133,147800
2000-04-04,5.5625,5.5625,5.375,5.4375,5.00620698928833,195200
2000-04-05,5.46875,5.46875,5.375,5.46875,5.03497838973999,131600
2000-04-06,5.5,5.78125,5.5,5.5,5.063747882843018,84800
2000-04-07,5.71875,5.71875,5.625,5.65625,5.207607269287109,155400
2000-04-10,5.59375,5.59375,5.3125,5.3125,4.891122341156006,328000
2000-04-11,5.3125,5.4375,5.3125,5.40625,4.97743558883667,235800
2000-04-12,5.40625,5.875,5.34375,5.71875,5.265147686004639,280200
2000-04-13,5.59375,5.6875,5.5,5.53125,5.092519760131836,178800
2000-04-14,5.5,5.65625,5.40625,5.59375,5.150063514709473,270800
2000-04-17,5.53125,5.78125,5.4375,5.78125,5.322691917419434,128200
2000-04-18,5.75,6.125,5.75,6.125,5.639173984527588,177000
2000-04-19,6.09375,6.09375,5.875,6.0,5.524089813232422,401800
2000-04-20,6.0,6.0,5.3125,5.34375,4.919891834259033,350800
2000-04-24,5.3125,5.53125,5.0625,5.4375,5.00620698928833,314600
2000-04-25,5.5625,5.8125,5.5625,5.78125,5.322691917419434,218600
2000-04-26,5.71875,5.71875,5.5625,5.65625,5.207607269287109,49200
2000-04-27,5.3125,5.46875,5.3125,5.46875,5.03497838973999,265400
2000-04-28,5.375,5.65625,5.3125,5.65625,5.207607269287109,265800
2000-05-01,5.59375,5.9375,5.59375,5.9375,5.466546058654785,74000
2000-05-02,5.875,5.9375,5.8125,5.84375,5.380234241485596,170800
2000-05-03,5.84375,5.9375,5.84375,5.9375,5.466546058654785,75800
2000-05-04,5.9375,6.25,5.9375,6.25,5.754261493682861,147400
2000-05-05,6.28125,6.375,6.25,6.28125,5.783030986785889,53200
2000-05-08,6.21875,6.21875,5.875,6.0,5.524089813232422,137800
2000-05-09,5.9375,6.0625,5.625,6.0,5.524089813232422,103200
2000-05-10,5.9375,6.0625,5.84375,6.03125,5.552863597869873,173400
2000-05-11,6.0,6.3125,5.96875,6.0625,5.5909013748168945,156600
2000-05-12,6.0625,6.09375,5.8125,5.8125,5.360350608825684,129400
2000-05-15,5.8125,6.0,5.625,6.0,5.533262252807617,217200
2000-05-16,6.0,6.1875,5.9375,5.96875,5.5044426918029785,56600
2000-05-17,5.96875,6.0,5.5,5.5,5.072155952453613,141400
2000-05-18,5.5625,5.65625,5.5,5.5625,5.129796504974365,122000
2000-05-19,5.5,5.625,5.5,5.625,5.187434673309326,36600
2000-05-22,5.59375,5.625,5.46875,5.53125,5.100978374481201,128200
2000-05-23,5.53125,5.59375,5.46875,5.46875,5.043338775634766,93800
2000-05-24,5.46875,5.59375,5.46875,5.5625,5.129796504974365,111800
2000-05-25,5.5625,5.5625,5.5,5.5,5.072155952453613,73400
2000-05-26,5.5,5.59375,5.5,5.59375,5.158614635467529,142200
2000-05-30,5.65625,5.65625,5.53125,5.59375,5.158614635467529,73200
2000-05-31,5.53125,5.625,5.53125,5.5390625,5.108181953430176,95200
2000-06-01,5.6875,5.71875,5.6328125,5.6328125,5.194639682769775,44600
2000-06-02,5.75,5.75,5.6796875,5.71875,5.273891925811768,165200
2000-06-05,5.6875,5.71875,5.625,5.640625,5.201843738555908,524000
2000-06-06,5.59375,5.6875,5.59375,5.625,5.187434673309326,157800
2000-06-07,5.5625,5.6875,5.5625,5.6875,5.245073318481445,56200
2000-06-08,5.6875,5.6875,5.53125,5.625,5.187434673309326,95200
2000-06-09,5.65625,5.8125,5.65625,5.78125,5.331529140472412,117400
2000-06-12,5.75,5.78125,5.7109375,5.75,5.302710056304932,87600
2000-06-13,5.75,5.78125,5.71875,5.71875,5.273891925811768,103200
2000-06-14,5.6875,5.78125,5.46875,5.5,5.072155952453613,111600
2000-06-15,5.5,5.5625,5.375,5.4375,5.014519214630127,83600
2000-06-16,5.5,5.625,5.4375,5.46875,5.043338775634766,163000
2000-06-19,5.46875,5.5,5.375,5.46875,5.043338775634766,88400
2000-06-20,5.46875,5.46875,5.25,5.25,4.841606616973877,68200
2000-06-21,5.25,5.34375,5.1875,5.21875,4.812787055969238,59400
2000-06-22,5.21875,5.28125,5.1875,5.28125,4.870425701141357,87800
2000-06-23,5.21875,5.25,4.875,4.9375,4.553415298461914,260600
2000-06-26,4.96875,5.0,4.875,4.875,4.495776653289795,95400
2000-06-27,4.84375,5.03125,4.84375,4.875,4.495776653289795,114800
2000-06-28,4.78125,4.84375,4.75,4.78125,4.409318923950195,117400
2000-06-29,4.75,4.78125,4.71875,4.75,4.380497932434082,153400
2000-06-30,4.71875,5.1875,4.625,5.1875,4.7839674949646,380800
2000-07-03,5.125,5.125,5.015625,5.0625,4.668692111968994,41400
2000-07-05,5.125,5.15625,4.9375,4.9375,4.553415298461914,59600
2000-07-06,4.9375,5.0,4.84375,5.0,4.611052989959717,54800
2000-07-07,5.0,5.0625,4.953125,5.0625,4.668692111968994,57000
2000-07-10,5.0,5.03125,5.0,5.03125,4.639871120452881,90600
2000-07-11,5.03125,5.09375,5.0,5.0,4.611052989959717,52600
2000-07-12,5.0,5.34375,5.0,5.34375,4.928064346313477,154200
2000-07-13,5.3125,5.4375,5.3125,5.40625,4.985700607299805,53000
2000-07-14,5.46875,5.46875,5.09375,5.21875,4.812787055969238,165000
2000-07-17,5.21875,5.28125,5.1875,5.21875,4.812787055969238,46200
2000-07-18,5.15625,5.34375,5.15625,5.34375,4.928064346313477,70600
2000-07-19,5.28125,5.3125,5.15625,5.25,4.841606616973877,29000
2000-07-20,4.9375,5.03125,4.9375,4.96875,4.58223295211792,42600
2000-07-21,4.96875,5.0625,4.875,5.0625,4.668692111968994,79600
2000-07-24,5.09375,5.09375,4.78125,4.78125,4.409318923950195,331400
2000-07-25,4.8125,4.84375,4.78125,4.8125,4.438138484954834,247000
2000-07-26,4.8125,4.875,4.8125,4.84375,4.46695613861084,288800
2000-07-27,4.8125,4.875,4.8125,4.875,4.495776653289795,390000
2000-07-28,4.84375,4.875,4.8125,4.8125,4.438138484954834,53400
2000-07-31,4.8125,5.0625,4.8125,5.03125,4.639871120452881,297400
2000-08-01,5.0625,5.21875,4.9375,4.9375,4.553415298461914,593600
2000-08-02,5.0,5.0625,4.96875,5.0,4.611052989959717,448400
2000-08-03,4.9375,5.09375,4.9375,5.0625,4.668692111968994,20400
2000-08-04,5.0625,5.125,5.03125,5.09375,4.697509765625,50800
2000-08-07,5.09375,5.25,5.09375,5.15625,4.755147933959961,67600
2000-08-08,5.125,5.3125,5.125,5.3125,4.8992438316345215,67200
2000-08-09,5.34375,5.5,5.28125,5.4375,5.014519214630127,74800
2000-08-10,5.375,5.46875,5.3125,5.4375,5.014519214630127,59000
2000-08-11,5.34375,5.4375,5.28125,5.4375,5.023759365081787,36000
2000-08-14,5.375,5.375,5.125,5.34375,4.937143325805664,40600
2000-08-15,5.3125,5.34375,5.25,5.3125,4.908270359039307,8000
2000-08-16,5.25,5.5,5.25,5.4375,5.023759365081787,87600
